traj_id,split,class_name,seq_folder,n_neighbors,n1_id,n1_class,n1_min_dist,n1_mean_dist,n1_overlap_sec,n2_id,n2_class,n2_min_dist,n2_mean_dist,n2_overlap_sec,n3_id,n3_class,n3_min_dist,n3_mean_dist,n3_overlap_sec,n4_id,n4_class,n4_min_dist,n4_mean_dist,n4_overlap_sec,n5_id,n5_class,n5_min_dist,n5_mean_dist,n5_overlap_sec,min_dist_any,mean_dist_all,n_close_encounters,classes_nearby
0000,train,person,0000_20230322_081506,4,003,person,0.999,9.023,20.64,001,scooter,2.047,19.911,87.48,004,bicycle,11.303,17.33,11.12,002,person,18.604,23.874,37.8,,,,,,0.999,8.238,1,"bicycle,person,scooter"
0000,train,scooter,0000_20230322_081506,4,002,person,0.906,10.877,37.8,000,person,2.047,19.911,87.48,004,bicycle,13.119,33.344,10.72,003,person,20.415,27.315,20.64,,,,,,0.906,9.122,1,"bicycle,person"
0001,train,person,0000_20230322_081506,3,001,scooter,0.906,10.877,37.8,000,person,18.604,23.874,37.8,003,person,19.711,29.141,20.64,,,,,,,,,,,0.906,13.074,1,"person,scooter"
0002,train,person,0000_20230322_081506,3,000,person,1.001,9.007,20.64,002,person,19.846,29.114,20.64,001,scooter,20.393,27.313,20.64,,,,,,,,,,,1.001,13.747,1,"person,scooter"
0003,train,bicycle,0000_20230322_081506,2,000,person,11.303,17.33,11.12,001,scooter,13.119,33.344,10.72,,,,,,,,,,,,,,,,11.303,12.211,0,"person,scooter"
0004,train,person,0001_20230322_083454,15,005,person,0.756,11.128,37.32,013,person,0.794,0.842,13.84,008,scooter,0.824,5.472,29.0,002,person,1.2,8.861,53.56,004,person,1.304,17.148,42.44,0.756,7.352,8,"motorcycle,person,scooter"
0005,train,person,0001_20230322_083454,15,004,person,0.917,16.486,39.52,005,person,1.46,12.292,37.32,000,person,1.725,2.195,64.16,010,person,1.774,11.02,26.28,003,person,2.152,4.836,50.04,0.917,8.125,4,"motorcycle,person,scooter"
0006,train,person,0001_20230322_083454,15,005,person,0.108,8.68,37.32,013,person,0.699,5.945,13.84,008,scooter,0.741,13.111,24.72,004,person,1.04,20.413,52.04,000,person,1.2,8.861,53.56,0.108,12.251,6,"motorcycle,person,scooter"
0007,train,person,0001_20230322_083454,15,013,person,0.886,1.025,13.84,005,person,1.24,12.222,37.32,002,person,1.287,9.817,56.12,008,scooter,1.325,5.649,24.12,000,person,1.698,3.918,52.96,0.886,10.321,5,"motorcycle,person,scooter"
0008,train,person,0001_20230322_083454,13,001,person,0.917,16.486,39.52,002,person,1.04,20.519,52.04,007,person,1.173,21.036,29.52,000,person,1.304,17.256,42.44,009,person,2.2,6.34,26.32,0.917,8.995,4,"motorcycle,person,scooter"
