target_traj_id,target_split,target_class,seq_folder,other_id,other_traj_id,other_type,other_class,common_timestamps,frames_below_3m,min_dist,mean_dist,max_dist,overlap_sec,is_close
0000,train,person,0000_20230322_081506,001,0000,vru,scooter,219,2,2.047,19.911,50.899,87.48,1
0000,train,person,0000_20230322_081506,002,0001,vru,person,95,0,18.604,23.874,31.927,37.8,0
0000,train,person,0000_20230322_081506,1001,,vehicle,car,9,0,15.492,18.128,22.792,3.32,0
0000,train,person,0000_20230322_081506,1010,,vehicle,car,13,0,15.857,20.35,28.868,5.08,0
0000,train,person,0000_20230322_081506,1016,,vehicle,car,16,0,3.347,9.759,20.303,6.24,0
0000,train,person,0000_20230322_081506,1020,,vehicle,car,17,0,13.175,21.524,37.052,6.48,0
0000,train,person,0000_20230322_081506,1027,,vehicle,car,12,0,16.364,20.483,28.574,4.76,0
0000,train,person,0000_20230322_081506,1033,,vehicle,car,12,0,3.758,16.479,36.609,4.56,0
0000,train,person,0000_20230322_081506,1037,,vehicle,car,18,0,6.599,19.354,41.537,7.16,0
0000,train,person,0000_20230322_081506,1043,,vehicle,car,23,0,11.438,16.265,30.534,9.04,0
0000,train,scooter,0000_20230322_081506,000,0000,vru,person,219,2,2.047,19.911,50.899,87.48,1
0000,train,scooter,0000_20230322_081506,002,0001,vru,person,95,13,0.906,10.877,21.721,37.8,1
0000,train,scooter,0000_20230322_081506,1001,,vehicle,car,9,0,3.699,9.382,17.977,3.32,0
0000,train,scooter,0000_20230322_081506,1010,,vehicle,car,13,0,3.782,12.01,23.754,5.08,0
0000,train,scooter,0000_20230322_081506,1016,,vehicle,car,16,0,15.976,25.011,39.042,6.24,0
0000,train,scooter,0000_20230322_081506,1020,,vehicle,car,17,0,6.526,17.02,34.669,6.48,0
0000,train,scooter,0000_20230322_081506,1027,,vehicle,car,12,0,3.104,11.623,23.45,4.76,0
0000,train,scooter,0000_20230322_081506,1033,,vehicle,car,12,0,15.509,23.769,40.512,4.56,0
0000,train,scooter,0000_20230322_081506,1037,,vehicle,car,18,0,12.716,22.291,41.793,7.16,0
0000,train,scooter,0000_20230322_081506,1043,,vehicle,car,23,0,13.465,24.772,48.47,9.04,0
0001,train,person,0000_20230322_081506,000,0000,vru,person,95,0,18.604,23.874,31.927,37.8,0
0001,train,person,0000_20230322_081506,001,0000,vru,scooter,95,13,0.906,10.877,21.721,37.8,1
0001,train,person,0000_20230322_081506,1001,,vehicle,car,9,0,4.303,12.141,22.706,3.32,0
0001,train,person,0000_20230322_081506,1010,,vehicle,car,13,0,3.33,10.331,19.492,5.08,0
0001,train,person,0000_20230322_081506,1016,,vehicle,car,16,0,15.226,26.813,41.637,6.24,0
0001,train,person,0000_20230322_081506,1020,,vehicle,car,17,0,6.546,14.74,27.979,6.48,0
0001,train,person,0000_20230322_081506,1027,,vehicle,car,12,0,5.735,22.175,38.174,4.76,0
0001,train,person,0000_20230322_081506,1037,,vehicle,car,18,0,12.777,35.142,62.949,7.0,0
0002,train,person,0000_20230322_081506,1005,,vehicle,car,12,0,15.598,20.494,26.804,4.76,0
0002,train,person,0000_20230322_081506,1008,,vehicle,car,14,0,25.276,35.644,56.008,5.2,0
0002,train,person,0000_20230322_081506,1045,,vehicle,truck,6,0,16.999,18.305,19.933,2.2,0
0002,train,person,0000_20230322_081506,1053,,vehicle,car,38,0,7.471,15.225,43.848,15.0,0
0002,train,person,0000_20230322_081506,1054,,vehicle,car,40,0,10.228,17.659,39.529,15.96,0
0002,train,person,0000_20230322_081506,1056,,vehicle,car,45,0,17.736,24.919,35.069,17.84,0
0002,train,person,0000_20230322_081506,1057,,vehicle,car,52,0,35.983,42.089,51.977,20.64,0
0003,train,bicycle,0000_20230322_081506,1048,,vehicle,car,19,0,19.724,23.462,25.5,7.56,0
0004,train,person,0001_20230322_083454,001,0005,vru,person,161,140,1.725,2.195,4.675,64.16,1
0004,train,person,0001_20230322_083454,006,0010,vru,person,75,0,19.643,23.488,29.601,29.92,0
0004,train,person,0001_20230322_083454,010,0014,vru,person,66,16,1.6,9.592,16.738,26.28,1
0004,train,person,0001_20230322_083454,011,0015,vru,person,52,0,19.49,22.643,29.831,20.44,0
0004,train,person,0001_20230322_083454,015,0018,vru,motorcycle,11,0,5.047,22.831,45.464,4.08,0
0004,train,person,0001_20230322_083454,1010,,vehicle,car,11,0,4.475,16.354,35.394,4.2,0
0004,train,person,0001_20230322_083454,1029,,vehicle,car,32,0,4.36,10.499,22.363,12.56,0
0005,train,person,0001_20230322_083454,000,0004,vru,person,161,140,1.725,2.195,4.675,64.16,1
0005,train,person,0001_20230322_083454,006,0010,vru,person,75,0,18.607,22.748,30.215,29.92,0
0005,train,person,0001_20230322_083454,010,0014,vru,person,66,6,1.774,11.02,18.529,26.28,1
0005,train,person,0001_20230322_083454,011,0015,vru,person,52,0,18.715,21.436,28.066,20.44,0
0005,train,person,0001_20230322_083454,015,0018,vru,motorcycle,11,0,3.811,24.01,47.097,4.08,0
0005,train,person,0001_20230322_083454,1010,,vehicle,car,11,0,3.167,16.875,36.959,4.2,0
0005,train,person,0001_20230322_083454,1029,,vehicle,car,32,0,3.911,11.086,23.157,12.56,0
0006,train,person,0001_20230322_083454,012,0016,vru,person,21,0,35.266,44.108,53.186,8.32,0
0006,train,person,0001_20230322_083454,013,0017,vru,person,35,14,0.699,5.945,14.737,13.84,1
0006,train,person,0001_20230322_083454,1009,,vehicle,car,10,0,8.04,20.436,38.974,3.96,0
0006,train,person,0001_20230322_083454,1025,,vehicle,car,22,0,12.655,18.563,33.959,8.52,0
0006,train,person,0001_20230322_083454,1030,,vehicle,car,39,0,11.753,21.935,46.182,15.56,0
0007,train,person,0001_20230322_083454,1035,,vehicle,car,54,0,24.92,27.904,42.076,21.32,0
0007,train,person,0001_20230322_083454,1036,,vehicle,car,50,0,11.543,18.021,25.754,19.72,0
0008,train,person,0001_20230322_083454,1033,,vehicle,car,54,0,10.135,12.431,14.265,21.52,0
0009,train,person,0001_20230322_083454,007,0011,vru,person,55,0,14.256,18.262,29.973,21.72,0
0009,train,person,0001_20230322_083454,1026,,vehicle,car,22,0,37.424,38.515,40.366,8.52,0
0009,train,person,0001_20230322_083454,1032,,vehicle,car,15,0,36.165,37.925,40.23,5.72,0
0009,train,person,0001_20230322_083454,1037,,vehicle,car,42,0,11.427,24.603,49.598,16.4,0
0009,train,person,0001_20230322_083454,1038,,vehicle,car,94,0,30.267,31.945,35.552,37.32,0
0010,train,person,0001_20230322_083454,000,0004,vru,person,75,0,19.643,23.488,29.601,29.92,0
0010,train,person,0001_20230322_083454,001,0005,vru,person,75,0,18.607,22.748,30.215,29.92,0
0010,train,person,0001_20230322_083454,010,0014,vru,person,66,0,21.529,23.211,24.633,26.28,0
0010,train,person,0001_20230322_083454,011,0015,vru,person,52,0,13.25,13.55,14.012,20.44,0
0010,train,person,0001_20230322_083454,1010,,vehicle,car,11,0,15.468,25.708,44.872,4.2,0
0011,train,person,0001_20230322_083454,005,0009,vru,person,55,0,14.256,18.262,29.973,21.72,0
0011,train,person,0001_20230322_083454,1026,,vehicle,car,22,0,9.447,19.67,32.372,8.6,0
0011,train,person,0001_20230322_083454,1032,,vehicle,car,34,0,5.063,13.299,27.163,13.52,0
0011,train,person,0001_20230322_083454,1037,,vehicle,car,3,0,60.023,63.208,66.333,0.8,0
0011,train,person,0001_20230322_083454,1038,,vehicle,car,70,0,3.226,24.505,49.31,27.8,0
0013,train,person,0001_20230322_083454,1034,,vehicle,car,52,0,5.131,9.522,22.079,20.6,0
0014,train,person,0001_20230322_083454,000,0004,vru,person,66,16,1.6,9.592,16.738,26.28,1
0014,train,person,0001_20230322_083454,001,0005,vru,person,66,6,1.774,11.02,18.529,26.28,1
0014,train,person,0001_20230322_083454,006,0010,vru,person,66,0,21.529,23.211,24.633,26.28,0
0014,train,person,0001_20230322_083454,011,0015,vru,person,52,0,25.765,28.742,31.405,20.44,0
0014,train,person,0001_20230322_083454,1010,,vehicle,car,11,0,5.081,16.514,34.231,4.2,0
0015,train,person,0001_20230322_083454,000,0004,vru,person,52,0,19.49,22.643,29.831,20.44,0
0015,train,person,0001_20230322_083454,001,0005,vru,person,52,0,18.715,21.436,28.066,20.44,0
0015,train,person,0001_20230322_083454,006,0010,vru,person,52,0,13.25,13.55,14.012,20.44,0
0015,train,person,0001_20230322_083454,010,0014,vru,person,52,0,25.765,28.742,31.405,20.44,0
0015,train,person,0001_20230322_083454,1010,,vehicle,car,11,0,15.512,34.91,58.318,4.2,0
0016,train,person,0001_20230322_083454,002,0006,vru,person,21,0,35.266,44.108,53.186,8.32,0
0016,train,person,0001_20230322_083454,1009,,vehicle,car,11,0,15.617,31.664,52.109,4.36,0
0016,train,person,0001_20230322_083454,1016,,vehicle,car,14,0,31.814,46.709,64.255,5.2,0
