traj_id,split,class_name,seq_folder,total_interactions,interactions_with_vrus,interactions_with_vehicles,n_vru_coexisting,n_vru_close,min_dist_vru,n_frames_below_3m_vru,vru_classes_nearby,n_vehicle_coexisting,n_vehicle_close,min_dist_vehicle,n_frames_below_3m_veh,closest_agent_id,closest_agent_type,closest_agent_class,closest_agent_dist,closest_agent_common_ts
0000,train,person,0000_20230322_081506,10,2,8,2,1,2.047,2,"person,scooter",8,0,3.347,0,001,vru,scooter,2.047,219
0000,train,scooter,0000_20230322_081506,10,2,8,2,2,0.906,15,person,8,0,3.104,0,002,vru,person,0.906,95
0001,train,person,0000_20230322_081506,8,2,6,2,1,0.906,13,"person,scooter",6,0,3.33,0,001,vru,scooter,0.906,95
0002,train,person,0000_20230322_081506,7,0,7,0,0,-1,0,,7,0,7.471,0,1053,vehicle,car,7.471,38
0003,train,bicycle,0000_20230322_081506,1,0,1,0,0,-1,0,,1,0,19.724,0,1048,vehicle,car,19.724,19
0004,train,person,0001_20230322_083454,7,5,2,5,2,1.6,156,"motorcycle,person",2,0,4.36,0,010,vru,person,1.6,66
0005,train,person,0001_20230322_083454,7,5,2,5,2,1.725,146,"motorcycle,person",2,0,3.167,0,000,vru,person,1.725,161
0006,train,person,0001_20230322_083454,5,2,3,2,1,0.699,14,person,3,0,8.04,0,013,vru,person,0.699,35
0007,train,person,0001_20230322_083454,2,0,2,0,0,-1,0,,2,0,11.543,0,1036,vehicle,car,11.543,50
0008,train,person,0001_20230322_083454,1,0,1,0,0,-1,0,,1,0,10.135,0,1033,vehicle,car,10.135,54
0009,train,person,0001_20230322_083454,5,1,4,1,0,14.256,0,person,4,0,11.427,0,1037,vehicle,car,11.427,42
0010,train,person,0001_20230322_083454,5,4,1,4,0,13.25,0,person,1,0,15.468,0,011,vru,person,13.25,52
0011,train,person,0001_20230322_083454,5,1,4,1,0,14.256,0,person,4,0,3.226,0,1038,vehicle,car,3.226,70
0012,train,scooter,0001_20230322_083454,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0013,train,person,0001_20230322_083454,1,0,1,0,0,-1,0,,1,0,5.131,0,1034,vehicle,car,5.131,52
0014,train,person,0001_20230322_083454,5,4,1,4,2,1.6,22,person,1,0,5.081,0,000,vru,person,1.6,66
0015,train,person,0001_20230322_083454,5,4,1,4,0,13.25,0,person,1,0,15.512,0,006,vru,person,13.25,52
0016,train,person,0001_20230322_083454,4,1,3,1,0,35.266,0,person,3,0,15.617,0,1009,vehicle,car,15.617,11
0017,train,person,0001_20230322_083454,2,1,1,1,1,0.699,14,person,1,0,10.672,0,002,vru,person,0.699,35
0001,train,person,0001_20230322_083454,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0018,train,motorcycle,0001_20230322_083454,3,2,1,2,0,3.811,0,person,1,0,19.815,0,001,vru,person,3.811,11
0286,train,person,0001_20230523_105516,12,2,10,2,0,29.214,0,bicycle,10,0,5.371,0,1058,vehicle,car,5.371,52
0287,train,person,0001_20230523_105516,6,3,3,3,1,1.312,3,"person,scooter",3,0,13.424,0,021,vru,scooter,1.312,32
0288,train,person,0001_20230523_105516,8,2,6,2,0,8.664,0,person,6,0,10.613,0,011,vru,person,8.664,15
0289,train,bicycle,0001_20230523_105516,13,2,11,2,1,0.917,36,"bicycle,person",11,0,7.317,0,020,vru,bicycle,0.917,36
0290,train,person,0001_20230523_105516,4,1,3,1,0,15.109,0,person,3,0,15.016,0,1021,vehicle,car,15.016,5
0291,train,person,0001_20230523_105516,1,0,1,0,0,-1,0,,1,0,25.821,0,1066,vehicle,car,25.821,39
0292,train,bicycle,0001_20230523_105516,3,1,2,1,0,22.336,0,person,2,0,9.58,0,1068,vehicle,car,9.58,41
0293,train,person,0001_20230523_105516,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0294,train,person,0001_20230523_105516,6,5,1,5,0,5.051,0,"bicycle,person",1,0,56.272,0,028,vru,person,5.051,21
0027,train,person,0001_20230523_105516,6,3,3,3,0,6.064,0,"person,scooter",3,0,6.321,0,001,vru,person,6.064,77
0295,train,person,0001_20230523_105516,5,5,0,5,2,0.503,68,"bicycle,person",0,0,-1,0,012,vru,person,0.503,52
0296,train,person,0001_20230523_105516,8,3,5,3,0,8.664,0,person,5,0,10.991,0,002,vru,person,8.664,15
0297,train,person,0001_20230523_105516,4,4,0,4,1,0.503,52,"bicycle,person",0,0,-1,0,010,vru,person,0.503,52
0298,train,person,0001_20230523_105516,3,3,0,3,0,5.759,0,"bicycle,person",0,0,-1,0,029,vru,bicycle,5.759,19
0299,train,bicycle,0001_20230523_105516,4,3,1,3,0,7.068,0,"bicycle,person",1,0,24.599,0,013,vru,person,7.068,26
0300,train,person,0001_20230523_105516,2,0,2,0,0,-1,0,,2,0,14.024,0,1044,vehicle,car,14.024,10
0301,train,person,0001_20230523_105516,3,1,2,1,0,22.336,0,bicycle,2,0,9.847,0,1063,vehicle,car,9.847,33
0302,train,person,0001_20230523_105516,7,3,4,3,0,9.112,0,person,4,0,10.652,0,011,vru,person,9.112,46
0303,train,bicycle,0001_20230523_105516,1,0,1,0,0,-1,0,,1,0,7.284,0,1027,vehicle,car,7.284,12
0304,train,person,0001_20230523_105516,4,4,0,4,0,13.687,0,"bicycle,person",0,0,-1,0,025,vru,bicycle,13.687,26
0305,train,bicycle,0001_20230523_105516,8,2,6,2,1,0.917,36,"bicycle,person",6,0,11.497,0,003,vru,bicycle,0.917,36
0306,train,scooter,0001_20230523_105516,6,3,3,3,1,1.312,3,person,3,0,10.817,0,001,vru,person,1.312,32
0307,train,person,0001_20230523_105516,3,3,0,3,0,14.041,0,"bicycle,person",0,0,-1,0,029,vru,bicycle,14.041,19
0308,train,person,0001_20230523_105516,5,2,3,2,0,36.356,0,person,3,0,17.26,0,1057,vehicle,car,17.26,7
0309,train,person,0001_20230523_105516,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0310,train,bicycle,0001_20230523_105516,4,4,0,4,0,3.509,0,person,0,0,-1,0,010,vru,person,3.509,27
0028,train,person,0001_20230523_105516,6,3,3,3,0,11.833,0,"person,scooter",3,0,4.563,0,1068,vehicle,car,4.563,25
0311,train,person,0001_20230523_105516,3,1,2,1,0,15.109,0,person,2,0,16.209,0,004,vru,person,15.109,8
0029,train,person,0001_20230523_105516,2,2,0,2,1,1.533,16,person,0,0,-1,0,010,vru,person,1.533,16
,,bicycle,0001_20230523_105516,3,3,0,3,0,5.759,0,"bicycle,person",0,0,-1,0,013,vru,person,5.759,19
0019,train,person,0002_20230322_083625,8,4,4,4,2,1.087,71,"bicycle,person",4,0,4.924,0,001,vru,person,1.087,103
0020,train,person,0002_20230322_083625,8,4,4,4,3,0.952,21,"bicycle,person",4,0,6.416,0,006,vru,person,0.952,30
0002,train,person,0002_20230322_083625,15,0,15,0,0,-1,0,,15,0,3.287,0,1018,vehicle,car,3.287,15
0021,train,person,0002_20230322_083625,3,2,1,2,1,1.685,60,person,1,0,29.779,0,000,vru,person,1.685,96
0022,train,person,0002_20230322_083625,2,0,2,0,0,-1,0,,2,0,16.061,0,1031,vehicle,car,16.061,10
0023,train,person,0002_20230322_083625,4,0,4,0,0,-1,0,,4,0,9.994,0,1047,vehicle,car,9.994,34
0024,train,person,0002_20230322_083625,6,3,3,3,2,0.952,31,"bicycle,person",3,0,9.248,0,001,vru,person,0.952,30
0025,train,bicycle,0002_20230322_083625,6,3,3,3,2,1.3,31,person,3,0,9.514,0,001,vru,person,1.3,26
0003,train,person,0002_20230322_083625,1,0,1,0,0,-1,0,,1,0,10.652,0,1043,vehicle,car,10.652,11
