traj_id,split,class_name,seq_folder,n_coexisting_agents,coexisting_classes,min_dist_overall,n_frames_below_3m,n_close_agents,n1_traj_id,n1_class,n1_common_timestamps,n1_frames_below_3m,n1_min_dist,n1_mean_dist,n1_overlap_sec,n2_traj_id,n2_class,n2_common_timestamps,n2_frames_below_3m,n2_min_dist,n2_mean_dist,n2_overlap_sec,n3_traj_id,n3_class,n3_common_timestamps,n3_frames_below_3m,n3_min_dist,n3_mean_dist,n3_overlap_sec,n4_traj_id,n4_class,n4_common_timestamps,n4_frames_below_3m,n4_min_dist,n4_mean_dist,n4_overlap_sec,n5_traj_id,n5_class,n5_common_timestamps,n5_frames_below_3m,n5_min_dist,n5_mean_dist,n5_overlap_sec
0000,train,person,0000_20230322_081506,2,"person,scooter",2.047,2,1,0000,scooter,219,2,2.047,19.911,87.48,0001,person,95,0,18.604,23.874,37.8,,,,,,,,,,,,,,,,,,,,,
0000,train,scooter,0000_20230322_081506,2,person,0.906,15,2,0001,person,95,13,0.906,10.877,37.8,0000,person,219,2,2.047,19.911,87.48,,,,,,,,,,,,,,,,,,,,,
0001,train,person,0000_20230322_081506,2,"person,scooter",0.906,13,1,0000,scooter,95,13,0.906,10.877,37.8,0000,person,95,0,18.604,23.874,37.8,,,,,,,,,,,,,,,,,,,,,
0002,train,person,0000_20230322_081506,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,train,bicycle,0000_20230322_081506,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,train,person,0001_20230322_083454,5,"motorcycle,person",1.6,156,2,0014,person,66,16,1.6,9.592,26.28,0005,person,161,140,1.725,2.195,64.16,0018,motorcycle,11,0,5.047,22.831,4.08,0015,person,52,0,19.49,22.643,20.44,0010,person,75,0,19.643,23.488,29.92
0005,train,person,0001_20230322_083454,5,"motorcycle,person",1.725,146,2,0004,person,161,140,1.725,2.195,64.16,0014,person,66,6,1.774,11.02,26.28,0018,motorcycle,11,0,3.811,24.01,4.08,0010,person,75,0,18.607,22.748,29.92,0015,person,52,0,18.715,21.436,20.44
0006,train,person,0001_20230322_083454,2,person,0.699,14,1,0017,person,35,14,0.699,5.945,13.84,0016,person,21,0,35.266,44.108,8.32,,,,,,,,,,,,,,,,,,,,,
0007,train,person,0001_20230322_083454,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0008,train,person,0001_20230322_083454,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009,train,person,0001_20230322_083454,1,person,14.256,0,0,0011,person,55,0,14.256,18.262,21.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010,train,person,0001_20230322_083454,4,person,13.25,0,0,0015,person,52,0,13.25,13.55,20.44,0005,person,75,0,18.607,22.748,29.92,0004,person,75,0,19.643,23.488,29.92,0014,person,66,0,21.529,23.211,26.28,,,,,,,
0011,train,person,0001_20230322_083454,1,person,14.256,0,0,0009,person,55,0,14.256,18.262,21.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0012,train,scooter,0001_20230322_083454,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0013,train,person,0001_20230322_083454,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0014,train,person,0001_20230322_083454,4,person,1.6,22,2,0004,person,66,16,1.6,9.592,26.28,0005,person,66,6,1.774,11.02,26.28,0010,person,66,0,21.529,23.211,26.28,0015,person,52,0,25.765,28.742,20.44,,,,,,,
0015,train,person,0001_20230322_083454,4,person,13.25,0,0,0010,person,52,0,13.25,13.55,20.44,0005,person,52,0,18.715,21.436,20.44,0004,person,52,0,19.49,22.643,20.44,0014,person,52,0,25.765,28.742,20.44,,,,,,,
0016,train,person,0001_20230322_083454,1,person,35.266,0,0,0006,person,21,0,35.266,44.108,8.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0017,train,person,0001_20230322_083454,1,person,0.699,14,1,0006,person,35,14,0.699,5.945,13.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001,train,person,0001_20230322_083454,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0018,train,motorcycle,0001_20230322_083454,2,person,3.811,0,0,0005,person,11,0,3.811,24.01,4.08,0004,person,11,0,5.047,22.831,4.08,,,,,,,,,,,,,,,,,,,,,
0286,train,person,0001_20230523_105516,2,bicycle,29.214,0,0,0289,bicycle,114,0,29.214,31.652,45.24,0305,bicycle,36,0,29.607,32.205,14.0,,,,,,,,,,,,,,,,,,,,,
0287,train,person,0001_20230523_105516,3,"person,scooter",1.312,3,1,0306,scooter,32,3,1.312,15.883,12.72,0027,person,77,0,6.064,16.018,30.56,0028,person,25,0,19.299,20.215,9.72,,,,,,,,,,,,,,
0288,train,person,0001_20230523_105516,2,person,8.664,0,0,0296,person,15,0,8.664,9.458,5.72,0302,person,1,0,20.21,20.21,0.12,,,,,,,,,,,,,,,,,,,,,
0289,train,bicycle,0001_20230523_105516,2,"bicycle,person",0.917,36,1,0305,bicycle,36,36,0.917,0.991,14.0,0286,person,114,0,29.214,31.652,45.24,,,,,,,,,,,,,,,,,,,,,
0290,train,person,0001_20230523_105516,1,person,15.109,0,0,0311,person,8,0,15.109,18.187,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0291,train,person,0001_20230523_105516,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0292,train,bicycle,0001_20230523_105516,1,person,22.336,0,0,0301,person,53,0,22.336,28.221,20.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0293,train,person,0001_20230523_105516,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0294,train,person,0001_20230523_105516,5,"bicycle,person",5.051,0,0,0029,person,21,0,5.051,5.604,8.36,0297,person,36,0,5.298,5.624,14.16,0295,person,57,0,5.381,5.761,22.68,0310,bicycle,27,0,5.939,11.295,10.68,0304,person,31,0,23.959,26.53,12.12
0027,train,person,0001_20230523_105516,3,"person,scooter",6.064,0,0,0287,person,77,0,6.064,16.018,30.56,0306,scooter,24,0,7.897,15.989,9.52,0028,person,20,0,11.833,12.899,7.72,,,,,,,,,,,,,,
0295,train,person,0001_20230523_105516,5,"bicycle,person",0.503,68,2,0297,person,52,52,0.503,0.84,20.56,0029,person,16,16,1.533,1.673,6.28,0310,bicycle,27,0,3.509,11.694,10.68,0294,person,57,0,5.381,5.761,22.68,0304,person,36,0,16.437,20.312,14.12
0296,train,person,0001_20230523_105516,3,person,8.664,0,0,0288,person,15,0,8.664,9.458,5.72,0302,person,46,0,9.112,9.539,18.24,0308,person,29,0,45.022,49.089,11.48,,,,,,,,,,,,,,
0297,train,person,0001_20230523_105516,4,"bicycle,person",0.503,52,1,0295,person,52,52,0.503,0.84,20.56,0310,bicycle,27,0,4.195,12.11,10.68,0294,person,36,0,5.298,5.624,14.16,0304,person,36,0,16.839,20.757,14.12,,,,,,,
0298,train,person,0001_20230523_105516,3,"bicycle,person",5.759,0,0,,bicycle,19,0,5.759,10.881,7.32,0299,bicycle,26,0,7.068,10.408,10.24,0307,person,31,0,33.098,41.408,12.36,,,,,,,,,,,,,,
0299,train,bicycle,0001_20230523_105516,3,"bicycle,person",7.068,0,0,0298,person,26,0,7.068,10.408,10.24,,bicycle,3,0,27.438,28.042,1.04,0307,person,6,0,34.984,38.992,2.24,,,,,,,,,,,,,,
0300,train,person,0001_20230523_105516,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0301,train,person,0001_20230523_105516,1,bicycle,22.336,0,0,0292,bicycle,53,0,22.336,28.221,20.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0302,train,person,0001_20230523_105516,3,person,9.112,0,0,0296,person,46,0,9.112,9.539,18.24,0288,person,1,0,20.21,20.21,0.12,0308,person,26,0,36.356,40.104,10.24,,,,,,,,,,,,,,
0303,train,bicycle,0001_20230523_105516,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0304,train,person,0001_20230523_105516,4,"bicycle,person",13.687,0,0,0310,bicycle,26,0,13.687,27.008,10.12,0295,person,36,0,16.437,20.312,14.12,0297,person,36,0,16.839,20.757,14.12,0294,person,31,0,23.959,26.53,12.12,,,,,,,
0305,train,bicycle,0001_20230523_105516,2,"bicycle,person",0.917,36,1,0289,bicycle,36,36,0.917,0.991,14.0,0286,person,36,0,29.607,32.205,14.0,,,,,,,,,,,,,,,,,,,,,
