sample_id,split,track_id_A,track_id_B,class_A,class_B,ts,ax,ay,bx,by,avx,avy,bvx,bvy,speed_a,speed_b,rel_x,rel_y,rel_vx,rel_vy,dist_xy,theta_global,theta_local,heading_a,heading_b,heading_diff,closing_speed
0000,train,train/0000,train/0002,pedestrian,pedestrian,1679472919640035,-2.9977,2.3429,-9.964,7.3571,-0.0189,0.0294,1.5384,-1.1562,0.0349,1.9245,7.9842,3.1505,-1.8393,-0.6693,8.5833,2.5177,0.3758,2.1419,-0.6445,-2.7864,1.9565
0000,train,train/0000,train/0002,pedestrian,pedestrian,1679472919760035,-2.9996,2.346,-9.7794,7.2184,-0.0136,0.0208,1.5043,-1.1369,0.0248,1.8857,7.7846,3.0179,-1.7989,-0.6391,8.3491,2.5185,0.3698,2.1486,-0.6472,-2.7958,1.9083
0000,train,train/0000,train/0002,pedestrian,pedestrian,1679472919880035,-3.0009,2.3479,-9.603,7.0842,-0.0087,0.0122,1.4386,-1.0999,0.015,1.8109,7.6941,2.6119,-1.7467,-0.5297,8.1253,2.5193,0.3273,2.192,-0.6527,-2.8448,1.8242
0000,train,train/0000,train/0002,pedestrian,pedestrian,1679472920000035,-3.0017,2.3489,-9.4342,6.9544,-0.0038,0.0046,1.3779,-1.0658,0.0059,1.742,7.6494,2.0185,-1.7056,-0.3819,7.9112,2.5202,0.258,2.2622,-0.6584,-2.9206,1.7465
0000,train,train/0000,train/0002,pedestrian,pedestrian,1679472920120035,-3.0018,2.349,-9.2723,6.8284,0.0007,-0.0012,1.3222,-1.0347,0.0014,1.6789,-7.0312,-3.1539,1.5591,0.6195,7.7061,2.5213,-2.7199,-1.042,-0.664,0.3779,1.6761
0000,train,train/0000,train/0002,pedestrian,pedestrian,1679472920240035,-3.0015,2.3486,-9.1168,6.7061,0.0039,-0.0059,1.2714,-1.0067,0.007,1.6217,-6.9973,-2.7245,1.532,0.5112,7.509,2.5225,-2.7703,-0.9904,-0.6697,0.3207,1.613
0000,train,train/0000,train/0002,pedestrian,pedestrian,1679472920360035,-3.0009,2.3476,-8.9672,6.5869,0.0058,-0.0098,1.2256,-0.9816,0.0114,1.5702,-6.6925,-2.9627,1.4586,0.5521,7.319,2.5238,-2.7248,-1.0345,-0.6753,0.3593,1.5573
0000,train,train/0000,train/0002,pedestrian,pedestrian,1679472920480035,-3.0001,2.3462,-8.8227,6.4705,0.0067,-0.0118,1.1848,-0.9595,0.0136,1.5246,-6.4669,-3.0151,1.4068,0.554,7.1352,2.5253,-2.7053,-1.0526,-0.6807,0.3719,1.5092
0000,train,train/0000,train/0002,pedestrian,pedestrian,1679472920600035,-2.9993,2.3448,-8.6828,6.3566,0.0065,-0.0119,1.149,-0.9404,0.0135,1.4848,-6.248,-3.0593,1.3631,0.5564,6.9568,2.5269,-2.6863,-1.07,-0.6859,0.3841,1.4689
0000,train,train/0000,train/0002,pedestrian,pedestrian,1679472920720035,-2.9985,2.3434,-8.5469,6.2448,0.0046,-0.0105,1.1182,-0.9243,0.0114,1.4508,-5.7954,-3.5239,1.2831,0.655,6.7827,2.5287,-2.5953,-1.1592,-0.6907,0.4684,1.4366
0000,train,train/0000,train/0002,pedestrian,pedestrian,1679472920840035,-2.9982,2.3423,-8.4144,6.1347,0.0019,-0.0086,1.0924,-0.9112,0.0088,1.4225,-4.8498,-4.4942,1.1124,0.8755,6.612,2.5307,-2.3942,-1.3582,-0.6952,0.663,1.411
0000,train,train/0000,train/0002,pedestrian,pedestrian,1679472920960035,-2.9981,2.3413,-8.2847,6.0261,-0.0004,-0.0073,1.0715,-0.9011,0.0073,1.4001,-3.3724,-5.4912,0.8302,1.1219,6.4441,2.5329,-2.1216,-1.6287,-0.6992,0.9295,1.3905
0000,train,train/0000,train/0002,pedestrian,pedestrian,1679472921080035,-2.9983,2.3405,-8.1573,5.9185,-0.0031,-0.0069,1.0637,-0.8978,0.0075,1.3919,-1.152,-6.1717,0.3761,1.338,6.2783,2.5352,-1.7553,-1.9926,-0.701,1.2916,1.3843
0000,train,train/0000,train/0002,pedestrian,pedestrian,1679472921200035,-2.9988,2.3397,-8.0295,5.8106,-0.0066,-0.0067,1.0577,-0.8999,0.0094,1.3887,1.0655,-6.0183,-0.1124,1.3849,6.1118,2.5376,-1.3956,-2.35,-0.705,1.645,1.3832
0000,train,train/0000,train/0002,pedestrian,pedestrian,1679472921320035,-2.9999,2.3389,-7.9034,5.7025,-0.0111,-0.0055,1.0497,-0.9018,0.0123,1.3839,2.9007,-5.1908,-0.5526,1.2741,5.9463,2.5404,-1.0612,-2.6816,-0.7098,1.9718,1.3818
