sample_id,split,track_id,n_obs_frames,n_future_frames,nonzero_vru_cells,nonzero_vehicle_cells,dominant_ground_type,f1_last,f2_last,f3_last,future_start_x,future_start_y,future_end_x,future_end_y
0,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.2266,1.1367,-3.0089,2.3336
1,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.2718,1.2754,-3.0036,2.327
2,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.3196,1.4144,-2.998,2.3201
3,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.3701,1.5533,-2.9924,2.3134
4,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.4228,1.691,-2.987,2.3073
5,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.4769,1.8261,-2.9824,2.3022
6,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.5311,1.9565,-2.9788,2.2983
7,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.5845,2.0802,-2.9762,2.2957
8,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.6358,2.1943,-2.9744,2.2946
9,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.6838,2.2964,-2.9735,2.2949
10,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.7276,2.3844,-2.9732,2.2966
11,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.7666,2.4576,-2.9734,2.2995
12,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.8006,2.5157,-2.9742,2.3034
13,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.83,2.5586,-2.9758,2.3077
14,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.8557,2.5859,-2.9782,2.3125
15,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.8779,2.5983,-2.9812,2.3176
16,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.8971,2.5974,-2.9847,2.323
17,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9134,2.5848,-2.9884,2.3285
18,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9265,2.5627,-2.9919,2.334
19,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9365,2.533,-2.995,2.3389
20,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9438,2.4981,-2.9977,2.3429
