sample_id,target_velocity,total_neighbors_within_radius,total_ped_neighbors,total_vehicle_neighbors,nearest_distance_within_radius,nearest_velocity_within_radius,nearest_type_within_radius,nearest_class_within_radius,cell_0_count,cell_0_mean_velocity,cell_0_min_distance,cell_0_ped_count,cell_0_vehicle_count,cell_1_count,cell_1_mean_velocity,cell_1_min_distance,cell_1_ped_count,cell_1_vehicle_count,cell_2_count,cell_2_mean_velocity,cell_2_min_distance,cell_2_ped_count,cell_2_vehicle_count,cell_3_count,cell_3_mean_velocity,cell_3_min_distance,cell_3_ped_count,cell_3_vehicle_count,cell_4_count,cell_4_mean_velocity,cell_4_min_distance,cell_4_ped_count,cell_4_vehicle_count,cell_5_count,cell_5_mean_velocity,cell_5_min_distance,cell_5_ped_count,cell_5_vehicle_count,cell_6_count,cell_6_mean_velocity,cell_6_min_distance,cell_6_ped_count,cell_6_vehicle_count,cell_7_count,cell_7_mean_velocity,cell_7_min_distance,cell_7_ped_count,cell_7_vehicle_count,cell_8_count,cell_8_mean_velocity,cell_8_min_distance,cell_8_ped_count,cell_8_vehicle_count,f1_state,f2_state,f3_state,n_ped_red,n_ped_green,n_ped_off
0000,1.291396,0,0,0,0.0,0.0,,,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,2,1,1,2,1,0
0001,4.546872,1,1,0,0.929277,0.577696,vrus,scooter,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0.577696,0.929277,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,2,1,2,1,2,0
0002,6.061613,0,0,0,0.0,0.0,,,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,2,1,2,1,2,0
0004,0.05795,4,4,0,0.804954,0.049304,vrus,person,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,2,0.092281,0.804954,2,0,1,0.108727,1.735825,1,0,0,0.0,0.0,0,0,1,0.067906,1.909322,1,0,0,0.0,0.0,0,0,2,1,1,2,1,0
0005,0.061104,4,4,0,1.904971,0.021451,vrus,person,0,0.0,0.0,0,0,3,0.077379,1.904971,3,0,1,0.067773,3.298122,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,2,1,1,2,1,0
0006,0.034496,3,3,0,1.633077,0.050869,vrus,person,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0.050869,1.633077,1,0,1,0.06249,2.249117,1,0,0,0.0,0.0,0,0,1,0.104263,3.374602,1,0,0,0.0,0.0,0,0,1,1,1,3,0,0
0007,0.074956,4,4,0,1.980843,0.096327,vrus,person,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,3,1.657791,1.980843,3,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0.077008,3.41478,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,0,0
0008,4.025344,0,0,0,0.0,0.0,,,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,2,1,2,1,0
0009,3.985939,2,2,0,2.857554,0.103141,vrus,person,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0.052394,4.355698,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0.103141,2.857554,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,0,0
0010,4.569251,0,0,0,0.0,0.0,,,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,2,1,2,1,2,0
0011,6.47855,3,3,0,4.275329,6.001061,vrus,person,1,6.087727,4.947621,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,6.001061,4.275329,1,0,1,5.929084,4.881876,1,0,1,2,1,2,1,0
