sample_id,scene_path,timestamp,target_x,target_y,displacement,avg_speed,f1_state,f2_state,f3_state,n_ped_green,n_ped_red,has_green,red_only,is_moving,nearest_dist,n_neighbors
0,0000_20230322_081506,1679472951040035,0.0,0.0,0.355688,0.071138,2,1,1,1,2,1,0,0,16.979787,4
1,0000_20230322_081506,1679472925960035,0.0,0.0,6.203458,1.240692,2,1,2,2,1,1,0,1,0.929277,13
2,0000_20230322_081506,1679472929960035,0.0,0.0,7.927906,1.585581,2,1,2,2,1,1,0,1,6.515365,15
4,0001_20230322_083454,1679474128520035,0.0,0.0,0.01077,0.002154,2,1,1,1,2,1,0,0,0.804954,12
5,0001_20230322_083454,1679474127040035,0.0,0.0,0.039743,0.007949,2,1,1,1,2,1,0,0,1.904971,12
6,0001_20230322_083454,1679474140080035,0.0,0.0,0.183452,0.03669,1,1,1,0,3,0,1,0,1.633077,12
7,0001_20230322_083454,1679474137160035,0.0,0.0,0.005511,0.001102,1,1,1,0,3,0,1,0,1.980843,12
8,0001_20230322_083454,1679474145640035,0.0,0.0,7.994217,1.598843,1,2,1,1,2,1,0,1,10.994973,12
9,0001_20230322_083454,1679474140240035,0.0,0.0,5.659845,1.131969,1,1,1,0,3,0,1,1,2.857554,12
10,0001_20230322_083454,1679474109920035,0.0,0.0,6.769145,1.353829,2,1,2,2,1,1,0,1,7.816562,13
11,0001_20230322_083454,1679474151920035,0.0,0.0,8.961718,1.792344,1,2,1,1,2,1,0,1,4.275329,15
13,0001_20230322_083454,1679474158480035,0.0,0.0,0.333905,0.066781,1,1,1,0,3,0,1,0,1.278461,15
14,0001_20230322_083454,1679474108120035,0.0,0.0,6.468309,1.293662,2,1,2,2,1,1,0,1,6.154863,14
15,0001_20230322_083454,1679474105200035,0.0,0.0,6.929458,1.385892,2,1,2,2,1,1,0,1,10.528572,14
16,0001_20230322_083454,1679474109240035,0.0,0.0,7.238389,1.447678,2,1,2,2,1,1,0,1,4.239259,13
17,0001_20230322_083454,1679474128200035,0.0,0.0,0.064609,0.012922,2,1,1,1,2,1,0,0,0.79994,12
19,0002_20230322_083625,1679474215760035,0.0,0.0,0.091332,0.018266,2,1,1,1,2,1,0,0,4.034089,6
20,0002_20230322_083625,1679474206080035,0.0,0.0,6.26553,1.253106,2,1,1,1,2,1,0,1,1.850334,8
21,0002_20230322_083625,1679474226960035,0.0,0.0,0.086305,0.017261,1,1,1,0,3,0,1,0,1.908922,12
22,0002_20230322_083625,1679474232920035,0.0,0.0,6.945299,1.38906,1,2,1,1,2,1,0,1,0.422377,12
23,0002_20230322_083625,1679474233920035,0.0,0.0,7.335553,1.467111,1,2,1,1,2,1,0,1,0.811677,13
24,0002_20230322_083625,1679474191360035,0.0,0.0,6.462759,1.292552,2,1,2,2,1,1,0,1,2.780221,15
26,0003_20230322_083935,1679474406000035,0.0,0.0,0.060784,0.012157,1,1,1,0,3,0,1,0,8.030715,12
27,0003_20230322_083935,1679474421440035,0.0,0.0,8.486702,1.69734,1,2,1,1,2,1,0,1,5.680807,15
28,0003_20230322_083935,1679474424840035,0.0,0.0,0.038352,0.00767,1,2,1,1,2,1,0,0,0.39298,15
29,0003_20230322_083935,1679474426400035,0.0,0.0,8.980081,1.796016,1,1,1,0,3,0,1,1,3.712814,15
30,0003_20230322_083935,1679474426080035,0.0,0.0,1.547494,0.309499,1,1,1,0,3,0,1,1,2.176507,15
31,0004_20230322_084251,1679474596640035,0.0,0.0,5.418962,1.083792,1,2,1,1,2,1,0,1,3.583051,11
32,0004_20230322_084251,1679474595240035,0.0,0.0,6.951703,1.390341,1,2,1,1,2,1,0,1,11.475622,11
33,0004_20230322_084251,1679474594480035,0.0,0.0,8.833608,1.766722,1,2,1,1,2,1,0,1,1.136747,11
34,0004_20230322_084251,1679474593880035,0.0,0.0,6.126305,1.225261,1,2,1,1,2,1,0,1,2.734697,11
35,0004_20230322_084251,1679474593040035,0.0,0.0,4.637678,0.927536,1,2,1,1,2,1,0,1,1.397987,11
36,0004_20230322_084251,1679474590840035,0.0,0.0,2.777408,0.555482,1,1,1,0,3,0,1,1,0.792991,12
37,0004_20230322_084251,1679474617280035,0.0,0.0,7.099184,1.628253,1,1,1,0,3,0,1,1,4.382251,9
39,0005_20230322_084431,1679474689720035,0.0,0.0,7.262997,1.452599,1,2,1,1,2,1,0,1,0.696487,9
40,0005_20230322_084431,1679474688880035,0.0,0.0,7.099098,1.41982,1,2,1,1,2,1,0,1,2.2912,9
41,0005_20230322_084431,1679474687000035,0.0,0.0,7.801292,1.560258,1,2,1,1,2,1,0,1,1.927408,9
42,0005_20230322_084431,1679474694680035,0.0,0.0,0.044233,0.008847,1,2,1,1,2,1,0,0,7.512016,9
43,0005_20230322_084431,1679474683160035,0.0,0.0,8.161236,1.632247,1,2,1,1,2,1,0,1,17.948258,9
44,0005_20230322_084431,1679474693320035,0.0,0.0,6.731641,1.346328,1,2,1,1,2,1,0,1,0.872985,9
45,0006_20230322_113007,1679484644000035,0.0,0.0,0.071908,0.014382,2,1,2,2,1,1,0,0,0.370858,8
46,0006_20230322_113007,1679484652680035,0.0,0.0,0.039184,0.007837,1,1,1,0,3,0,1,0,0.217141,8
47,0006_20230322_113007,1679484649080035,0.0,0.0,0.019998,0.004,1,1,1,0,3,0,1,0,1.168327,7
48,0006_20230322_113007,1679484655440035,0.0,0.0,0.157595,0.031519,1,1,1,0,3,0,1,0,1.146583,8
49,0006_20230322_113007,1679484656920035,0.0,0.0,4.984035,0.996807,1,2,1,1,2,1,0,1,1.768858,8
50,0006_20230322_113007,1679484665360035,0.0,0.0,7.472401,1.49448,1,2,1,1,2,1,0,1,1.082321,14
51,0006_20230322_113007,1679484620200035,0.0,0.0,7.58376,1.516752,2,1,2,2,1,1,0,1,6.305907,12
52,0006_20230322_113007,1679484670560035,0.0,0.0,7.367272,1.473454,1,2,1,1,2,1,0,1,4.765566,15
53,0006_20230322_113007,1679484614680035,0.0,0.0,0.431541,0.086308,2,1,2,2,1,1,0,0,0.539958,11
54,0006_20230322_113007,1679484641720035,0.0,0.0,7.550964,1.510193,2,1,2,2,1,1,0,1,18.557969,9
55,0006_20230322_113007,1679484669720035,0.0,0.0,7.750787,1.550157,1,2,1,1,2,1,0,1,0.62484,15
57,0007_20230322_114343,1679485465520035,0.0,0.0,0.287962,0.057592,2,1,1,1,2,1,0,0,2.030014,7
58,0007_20230322_114343,1679485471280035,0.0,0.0,0.406424,0.081285,1,1,1,0,3,0,1,0,1.293105,7
59,0007_20230322_114343,1679485475480035,0.0,0.0,5.518256,1.103651,1,2,1,1,2,1,0,1,1.682359,11
60,0007_20230322_114343,1679485436480035,0.0,0.0,6.855468,1.371094,2,1,2,2,1,1,0,1,18.326661,9
61,0007_20230322_114343,1679485485680035,0.0,0.0,7.841265,1.568253,1,2,1,1,2,1,0,1,0.558298,12
62,0007_20230322_114343,1679485485680035,0.0,0.0,5.803738,1.160748,1,2,1,1,2,1,0,1,0.558298,12
64,0008_20230322_114623,1679485650080035,0.0,0.0,0.234216,0.046843,2,1,1,1,2,1,0,0,1.259649,11
65,0008_20230322_114623,1679485646320035,0.0,0.0,0.036528,0.007306,2,1,1,1,2,1,0,0,1.440345,10
66,0008_20230322_114623,1679485665600035,0.0,0.0,5.516646,1.103329,1,2,1,1,2,1,0,1,1.406567,8
67,0008_20230322_114623,1679485606800035,0.0,0.0,3.864903,0.772981,2,1,2,2,1,1,0,1,6.713004,15
68,0008_20230322_114623,1679485687000035,0.0,0.0,2.692798,0.53856,1,1,1,0,3,0,1,1,2.446307,9
69,0008_20230322_114623,1679485714320035,0.0,0.0,6.724058,1.344812,2,1,2,2,1,1,0,1,6.946811,14
70,0008_20230322_114623,1679485600000035,0.0,0.0,6.964283,1.392857,1,1,2,1,2,1,0,1,7.532039,15
71,0008_20230322_114623,1679485718960035,0.0,0.0,0.865035,0.173007,2,1,2,2,1,1,0,1,11.989407,11
72,0008_20230322_114623,1679485697280035,0.0,0.0,5.466795,1.093359,1,1,2,1,2,1,0,1,0.904684,15
73,0008_20230322_114623,1679485589360035,0.0,0.0,7.651909,1.530382,1,1,1,0,3,0,1,1,13.013324,11
74,0008_20230322_114623,1679485725440035,0.0,0.0,8.715016,1.743003,2,1,2,2,1,1,0,1,15.549379,7
75,0008_20230322_114623,1679485673920035,0.0,0.0,7.299573,1.533524,1,2,1,1,2,1,0,1,0.831708,10
76,0009_20230322_115403,1679486104720035,0.0,0.0,0.034194,0.006839,1,1,1,0,3,0,1,0,13.198756,5
77,0009_20230322_115403,1679486093720035,0.0,0.0,0.229194,0.045839,2,1,1,1,2,1,0,0,11.88075,2
79,0009_20230322_115403,1679486082200035,0.0,0.0,0.815621,0.163124,2,1,2,2,1,1,0,1,6.063098,4
80,0009_20230322_115403,1679486064760035,0.0,0.0,6.497046,1.56179,2,1,2,2,1,1,0,1,10.235831,11
82,0010_20230322_115554,1679486192800035,0.0,0.0,1.15754,0.231508,1,1,1,0,3,0,1,1,3.896666,5
83,0010_20230322_115554,1679486177000035,0.0,0.0,7.434145,1.486829,2,1,2,2,1,1,0,1,6.689988,6
