sample_id,scene_path,archive,timestamp,target_type,target_id,target_class_name,target_x_world,target_y_world,target_z_world,target_x_ego,target_y_ego,target_velocity,other_type,other_id,other_class_name,other_x_world,other_y_world,other_z_world,other_velocity,dx,dy,dz,distance,f1_state,f2_state,f3_state,n_ped_green,n_ped_red,has_green,red_only,is_moving,displacement,avg_speed,map_label_id,map_label_name,is_crosswalk,is_sidewalk,is_road,is_bikelane,nearest_map_dist
0001,0000_20230322_081506,imptc_set_01.tar.gz,1679472925960035,vrus,002,person,10.348255,15.950742,1.703727,0.0,0.0,4.546872,vrus,001,scooter,10.425735,16.876784,1.813463,0.577696,0.07748,0.926041,0.109735,0.929277,,,,,,,,,,,1,sidewalk,0,1,0,0,0.024111
0004,0001_20230322_083454,imptc_set_01.tar.gz,1679474128520035,vrus,000,person,-1.760483,1.000899,1.625159,0.0,0.0,0.05795,vrus,013,person,-1.143149,0.484324,1.940662,0.049304,0.617334,-0.516575,0.315503,0.804954,,,,,,,,,,,1,sidewalk,0,1,0,0,0.049514
0004,0001_20230322_083454,imptc_set_01.tar.gz,1679474128520035,vrus,000,person,-1.760483,1.000899,1.625159,0.0,0.0,0.05795,vrus,008,scooter,-2.17764,-0.44555,1.818168,0.135257,-0.417157,-1.446449,0.19301,1.505402,,,,,,,,,,,1,sidewalk,0,1,0,0,0.049514
0004,0001_20230322_083454,imptc_set_01.tar.gz,1679474128520035,vrus,000,person,-1.760483,1.000899,1.625159,0.0,0.0,0.05795,vrus,003,person,-0.083103,0.554259,1.794495,0.108727,1.67738,-0.446639,0.169337,1.735825,,,,,,,,,,,1,sidewalk,0,1,0,0,0.049514
0004,0001_20230322_083454,imptc_set_01.tar.gz,1679474128520035,vrus,000,person,-1.760483,1.000899,1.625159,0.0,0.0,0.05795,vrus,001,person,-2.605899,2.712851,1.697764,0.067906,-0.845417,1.711952,0.072605,1.909322,,,,,,,,,,,1,sidewalk,0,1,0,0,0.049514
0005,0001_20230322_083454,imptc_set_01.tar.gz,1679474127040035,vrus,001,person,-2.603697,2.699683,1.700202,0.0,0.0,0.061104,vrus,000,person,-1.755818,0.993807,1.628676,0.021451,0.847879,-1.705876,-0.071526,1.904971,,,,,,,,,,,1,sidewalk,0,1,0,0,0.022186
0005,0001_20230322_083454,imptc_set_01.tar.gz,1679474127040035,vrus,001,person,-2.603697,2.699683,1.700202,0.0,0.0,0.061104,vrus,013,person,-1.106212,0.47788,1.949847,0.110979,1.497484,-2.221803,0.249645,2.679341,,,,,,,,,,,1,sidewalk,0,1,0,0,0.022186
0005,0001_20230322_083454,imptc_set_01.tar.gz,1679474127040035,vrus,001,person,-2.603697,2.699683,1.700202,0.0,0.0,0.061104,vrus,008,scooter,-2.111692,-0.411624,1.82114,0.099706,0.492005,-3.111306,0.120938,3.149968,,,,,,,,,,,1,sidewalk,0,1,0,0,0.022186
0005,0001_20230322_083454,imptc_set_01.tar.gz,1679474127040035,vrus,001,person,-2.603697,2.699683,1.700202,0.0,0.0,0.061104,vrus,003,person,-0.073757,0.583787,1.798684,0.067773,2.529939,-2.115896,0.098482,3.298122,,,,,,,,,,,1,sidewalk,0,1,0,0,0.022186
0006,0001_20230322_083454,imptc_set_01.tar.gz,1679474140080035,vrus,002,person,-1.946337,-0.598976,1.649057,0.0,0.0,0.034496,vrus,000,person,-1.775082,1.025097,1.636373,0.050869,0.171255,1.624073,-0.012684,1.633077,,,,,,,,,,,1,sidewalk,0,1,0,0,0.015789
0006,0001_20230322_083454,imptc_set_01.tar.gz,1679474140080035,vrus,002,person,-1.946337,-0.598976,1.649057,0.0,0.0,0.034496,vrus,003,person,0.009279,0.511922,1.783254,0.06249,1.955615,1.110898,0.134197,2.249117,,,,,,,,,,,1,sidewalk,0,1,0,0,0.015789
0006,0001_20230322_083454,imptc_set_01.tar.gz,1679474140080035,vrus,002,person,-1.946337,-0.598976,1.649057,0.0,0.0,0.034496,vrus,001,person,-2.55491,2.720298,1.693711,0.104263,-0.608574,3.319273,0.044654,3.374602,,,,,,,,,,,1,sidewalk,0,1,0,0,0.015789
0007,0001_20230322_083454,imptc_set_01.tar.gz,1679474137160035,vrus,003,person,0.021173,0.493501,1.795252,0.0,0.0,0.074956,vrus,000,person,-1.850987,1.140613,1.630044,0.096327,-1.872161,0.647112,-0.165209,1.980843,,,,,,,,,,,1,sidewalk,0,1,0,0,0.015469
0007,0001_20230322_083454,imptc_set_01.tar.gz,1679474137160035,vrus,003,person,0.021173,0.493501,1.795252,0.0,0.0,0.074956,vrus,002,person,-1.90813,-0.573003,1.687724,0.663915,-1.929304,-1.066504,-0.107528,2.20446,,,,,,,,,,,1,sidewalk,0,1,0,0,0.015469
0007,0001_20230322_083454,imptc_set_01.tar.gz,1679474137160035,vrus,003,person,0.021173,0.493501,1.795252,0.0,0.0,0.074956,vrus,005,person,-2.936459,0.997819,1.801418,4.213131,-2.957632,0.504318,0.006166,3.000321,,,,,,,,,,,1,sidewalk,0,1,0,0,0.015469
0007,0001_20230322_083454,imptc_set_01.tar.gz,1679474137160035,vrus,003,person,0.021173,0.493501,1.795252,0.0,0.0,0.074956,vrus,001,person,-2.58758,2.696937,1.700416,0.077008,-2.608753,2.203436,-0.094836,3.41478,,,,,,,,,,,1,sidewalk,0,1,0,0,0.015469
0009,0001_20230322_083454,imptc_set_01.tar.gz,1679474140240035,vrus,005,person,-5.2692,3.627938,1.747648,0.0,0.0,3.985939,vrus,001,person,-2.558742,2.722933,1.694439,0.103141,2.710457,-0.905005,-0.053209,2.857554,,,,,,,,,,,1,sidewalk,0,1,0,0,0.011507
0009,0001_20230322_083454,imptc_set_01.tar.gz,1679474140240035,vrus,005,person,-5.2692,3.627938,1.747648,0.0,0.0,3.985939,vrus,000,person,-1.777219,1.024444,1.636679,0.052394,3.491981,-2.603494,-0.110969,4.355698,,,,,,,,,,,1,sidewalk,0,1,0,0,0.011507
0011,0001_20230322_083454,imptc_set_01.tar.gz,1679474151920035,vrus,007,person,1.636688,3.810689,1.770685,0.0,0.0,6.47855,vrus,004,person,2.836266,7.91428,1.803777,6.001061,1.199578,4.10359,0.033092,4.275329,,,,,,,,,,,5,crosswalk,1,0,0,0,0.019834
0011,0001_20230322_083454,imptc_set_01.tar.gz,1679474151920035,vrus,007,person,1.636688,3.810689,1.770685,0.0,0.0,6.47855,vrus,002,person,4.131702,8.006832,1.627626,5.929084,2.495014,4.196143,-0.143058,4.881876,,,,,,,,,,,5,crosswalk,1,0,0,0,0.019834
0011,0001_20230322_083454,imptc_set_01.tar.gz,1679474151920035,vrus,007,person,1.636688,3.810689,1.770685,0.0,0.0,6.47855,vrus,009,person,-2.762126,1.545872,1.678412,6.087727,-4.398814,-2.264817,-0.092273,4.947621,,,,,,,,,,,5,crosswalk,1,0,0,0,0.019834
0013,0001_20230322_083454,imptc_set_01.tar.gz,1679474158480035,vrus,009,person,0.181906,-4.287235,1.717523,0.0,0.0,1.844046,vrus,014,person,-0.90119,-4.966475,1.66621,1.129996,-1.083096,-0.67924,-0.051312,1.278461,,,,,,,,,,,1,sidewalk,0,1,0,0,0.034012
0013,0001_20230322_083454,imptc_set_01.tar.gz,1679474158480035,vrus,009,person,0.181906,-4.287235,1.717523,0.0,0.0,1.844046,vrus,004,person,-0.014139,-0.552195,1.673418,2.821161,-0.196045,3.73504,-0.044105,3.740182,,,,,,,,,,,1,sidewalk,0,1,0,0,0.034012
0016,0001_20230322_083454,imptc_set_01.tar.gz,1679474109240035,vrus,012,person,-1.745328,28.264101,1.499256,0.0,0.0,4.505658,vrus,011,person,-0.00943,24.396547,1.666894,5.58285,1.735897,-3.867554,0.167639,4.239259,,,,,,,,,,,1,sidewalk,0,1,0,0,0.076543
0017,0001_20230322_083454,imptc_set_01.tar.gz,1679474128200035,vrus,013,person,-1.1426,0.48653,1.941547,0.0,0.0,0.054433,vrus,000,person,-1.758128,0.99744,1.627269,0.034982,-0.615528,0.51091,-0.314277,0.79994,,,,,,,,,,,1,sidewalk,0,1,0,0,0.041503
0017,0001_20230322_083454,imptc_set_01.tar.gz,1679474128200035,vrus,013,person,-1.1426,0.48653,1.941547,0.0,0.0,0.054433,vrus,003,person,-0.078681,0.563147,1.794422,0.118794,1.063919,0.076617,-0.147125,1.066674,,,,,,,,,,,1,sidewalk,0,1,0,0,0.041503
0017,0001_20230322_083454,imptc_set_01.tar.gz,1679474128200035,vrus,013,person,-1.1426,0.48653,1.941547,0.0,0.0,0.054433,vrus,008,scooter,-2.169454,-0.433651,1.81775,0.187269,-1.026854,-0.920181,-0.123797,1.378826,,,,,,,,,,,1,sidewalk,0,1,0,0,0.041503
0017,0001_20230322_083454,imptc_set_01.tar.gz,1679474128200035,vrus,013,person,-1.1426,0.48653,1.941547,0.0,0.0,0.054433,vrus,001,person,-2.611234,2.711242,1.699073,0.047184,-1.468634,2.224712,-0.242474,2.665752,,,,,,,,,,,1,sidewalk,0,1,0,0,0.041503
0017,0001_20230322_083454,imptc_set_01.tar.gz,1679474128200035,vrus,013,person,-1.1426,0.48653,1.941547,0.0,0.0,0.054433,vrus,002,person,2.000457,-3.293558,1.800267,5.058775,3.143057,-3.780088,-0.14128,4.916083,,,,,,,,,,,1,sidewalk,0,1,0,0,0.041503
0017,0001_20230322_083454,imptc_set_01.tar.gz,1679474128200035,vrus,013,person,-1.1426,0.48653,1.941547,0.0,0.0,0.054433,vrus,005,person,2.058091,-3.298166,1.810465,5.161933,3.20069,-3.784696,-0.131081,4.956646,,,,,,,,,,,1,sidewalk,0,1,0,0,0.041503
0019,0002_20230322_083625,imptc_set_01.tar.gz,1679474215760035,vrus,000,person,-2.00797,1.87974,1.652055,0.0,0.0,0.04209,vrus,002,person,-5.687421,3.533677,1.668418,4.97147,-3.679452,1.653937,0.016362,4.034089,,,,,,,,,,,1,sidewalk,0,1,0,0,0.035513
0020,0002_20230322_083625,imptc_set_01.tar.gz,1679474206080035,vrus,001,person,-1.869573,0.087663,1.757043,0.0,0.0,4.494972,vrus,000,person,-2.024514,1.931498,1.655019,0.078808,-0.154942,1.843835,-0.102024,1.850334,,,,,,,,,,,1,sidewalk,0,1,0,0,0.019214
0021,0002_20230322_083625,imptc_set_01.tar.gz,1679474226960035,vrus,003,person,-0.356291,1.15956,1.691531,0.0,0.0,0.240999,vrus,000,person,-2.05426,2.031847,1.653525,0.065618,-1.697969,0.872287,-0.038006,1.908922,,,,,,,,,,,1,sidewalk,0,1,0,0,0.018211
0022,0002_20230322_083625,imptc_set_01.tar.gz,1679474232920035,vrus,004,person,-6.521233,-7.899992,1.561583,0.0,0.0,4.627599,vrus,005,person,-6.534679,-7.477828,1.55744,2.365471,-0.013446,0.422163,-0.004143,0.422377,,,,,,,,,,,1,sidewalk,0,1,0,0,0.058197
0023,0002_20230322_083625,imptc_set_01.tar.gz,1679474233920035,vrus,005,person,-6.350585,-6.805323,1.465185,0.0,0.0,3.069624,vrus,004,person,-5.576112,-7.048246,1.550667,4.269989,0.774473,-0.242924,0.085482,0.811677,,,,,,,,,,,1,sidewalk,0,1,0,0,0.079465
0024,0002_20230322_083625,imptc_set_01.tar.gz,1679474191360035,vrus,006,person,9.759788,-9.667697,1.652467,0.0,0.0,5.087537,vrus,007,bicycle,11.803119,-11.553017,1.710685,4.579095,2.043331,-1.88532,0.058218,2.780221,,,,,,,,,,,5,crosswalk,1,0,0,0,0.015058
0028,0003_20230322_083935,imptc_set_01.tar.gz,1679474424840035,vrus,003,person,10.075792,-10.476671,1.926923,0.0,0.0,0.102899,vrus,001,person,9.818576,-10.773779,1.75201,0.273908,-0.257216,-0.297108,-0.174912,0.39298,,,,,,,,,,,1,sidewalk,0,1,0,0,0.022082
0029,0003_20230322_083935,imptc_set_01.tar.gz,1679474426400035,vrus,004,person,6.558072,8.160094,1.703302,0.0,0.0,6.48071,vrus,005,person,5.069137,11.561279,1.776346,7.301136,-1.488935,3.401185,0.073044,3.712814,,,,,,,,,,,5,crosswalk,1,0,0,0,0.032336
0029,0003_20230322_083935,imptc_set_01.tar.gz,1679474426400035,vrus,004,person,6.558072,8.160094,1.703302,0.0,0.0,6.48071,vrus,002,person,7.715483,11.900874,1.675306,6.028888,1.15741,3.74078,-0.027996,3.915742,,,,,,,,,,,5,crosswalk,1,0,0,0,0.032336
0030,0003_20230322_083935,imptc_set_01.tar.gz,1679474426080035,vrus,007,person,19.878568,15.682279,1.625783,0.0,0.0,0.344217,vehicles,1035,car,18.455291,14.035628,0.358698,0.143193,-1.423278,-1.646652,-1.267085,2.176507,,,,,,,,,,,0,road,0,0,1,0,0.018233
0031,0004_20230322_084251,imptc_set_01.tar.gz,1679474596640035,vrus,000,person,-4.245382,1.991517,1.715884,0.0,0.0,1.590695,vrus,004,person,-1.492121,4.284509,1.681108,6.250866,2.753261,2.292991,-0.034776,3.583051,,,,,,,,,,,1,sidewalk,0,1,0,0,0.049785
0031,0004_20230322_084251,imptc_set_01.tar.gz,1679474596640035,vrus,000,person,-4.245382,1.991517,1.715884,0.0,0.0,1.590695,vrus,003,person,-0.372155,0.581287,1.735503,5.291913,3.873227,-1.41023,0.019619,4.12197,,,,,,,,,,,1,sidewalk,0,1,0,0,0.049785
0033,0004_20230322_084251,imptc_set_01.tar.gz,1679474594480035,vrus,002,person,-0.876967,1.055991,1.727911,0.0,0.0,3.189464,vrus,005,person,-1.328529,2.0992,1.749203,4.157682,-0.451562,1.043209,0.021292,1.136747,,,,,,,,,,,1,sidewalk,0,1,0,0,0.001858
0033,0004_20230322_084251,imptc_set_01.tar.gz,1679474594480035,vrus,002,person,-0.876967,1.055991,1.727911,0.0,0.0,3.189464,vrus,004,person,-3.140444,2.640681,1.673602,0.449742,-2.263477,1.58469,-0.054309,2.763072,,,,,,,,,,,1,sidewalk,0,1,0,0,0.001858
0033,0004_20230322_084251,imptc_set_01.tar.gz,1679474594480035,vrus,002,person,-0.876967,1.055991,1.727911,0.0,0.0,3.189464,vrus,003,person,-1.354568,-1.673719,1.784519,2.108504,-0.477601,-2.72971,0.056608,2.771176,,,,,,,,,,,1,sidewalk,0,1,0,0,0.001858
0033,0004_20230322_084251,imptc_set_01.tar.gz,1679474594480035,vrus,002,person,-0.876967,1.055991,1.727911,0.0,0.0,3.189464,vrus,000,person,-4.497934,2.128262,1.733705,0.110597,-3.620967,1.072271,0.005795,3.776396,,,,,,,,,,,1,sidewalk,0,1,0,0,0.001858
