sample_id,scene_path,timestamp,target_id,target_class_name,target_x,target_y,target_velocity,radius,grid_size,cell_size,total_neighbors_within_radius,map_label_id,map_label_name,is_crosswalk,is_sidewalk,is_road,is_bikelane,nearest_map_dist,cell_0_count,cell_0_sum_velocity,cell_0_mean_velocity,cell_0_min_distance,cell_0_ped_count,cell_0_vehicle_count,cell_0_vru_count,cell_1_count,cell_1_sum_velocity,cell_1_mean_velocity,cell_1_min_distance,cell_1_ped_count,cell_1_vehicle_count,cell_1_vru_count,cell_2_count,cell_2_sum_velocity,cell_2_mean_velocity,cell_2_min_distance,cell_2_ped_count,cell_2_vehicle_count,cell_2_vru_count,cell_3_count,cell_3_sum_velocity,cell_3_mean_velocity,cell_3_min_distance,cell_3_ped_count,cell_3_vehicle_count,cell_3_vru_count,cell_4_count,cell_4_sum_velocity,cell_4_mean_velocity,cell_4_min_distance,cell_4_ped_count,cell_4_vehicle_count,cell_4_vru_count,cell_5_count,cell_5_sum_velocity,cell_5_mean_velocity,cell_5_min_distance,cell_5_ped_count,cell_5_vehicle_count,cell_5_vru_count,cell_6_count,cell_6_sum_velocity,cell_6_mean_velocity,cell_6_min_distance,cell_6_ped_count,cell_6_vehicle_count,cell_6_vru_count,cell_7_count,cell_7_sum_velocity,cell_7_mean_velocity,cell_7_min_distance,cell_7_ped_count,cell_7_vehicle_count,cell_7_vru_count,cell_8_count,cell_8_sum_velocity,cell_8_mean_velocity,cell_8_min_distance,cell_8_ped_count,cell_8_vehicle_count,cell_8_vru_count
0000,0000_20230322_081506,1679472951040035,000,person,-1.901631,2.052848,1.291396,5.0,3,3.333333,0,1,sidewalk,0,1,0,0,9.6e-05,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0
0001,0000_20230322_081506,1679472925960035,002,person,10.348255,15.950742,4.546872,5.0,3,3.333333,1,1,sidewalk,0,1,0,0,0.024111,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0.577696,0.577696,0.929277,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0
0002,0000_20230322_081506,1679472929960035,003,person,-3.75229,-4.270228,6.061613,5.0,3,3.333333,0,1,sidewalk,0,1,0,0,0.035547,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0
0004,0001_20230322_083454,1679474128520035,000,person,-1.760483,1.000899,0.05795,5.0,3,3.333333,4,1,sidewalk,0,1,0,0,0.049514,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,2,0.184561,0.092281,0.804954,1,0,2,1,0.108727,0.108727,1.735825,1,0,1,0,0.0,0.0,0.0,0,0,0,1,0.067906,0.067906,1.909322,1,0,1,0,0.0,0.0,0.0,0,0,0
0005,0001_20230322_083454,1679474127040035,001,person,-2.603697,2.699683,0.061104,5.0,3,3.333333,4,1,sidewalk,0,1,0,0,0.022186,0,0.0,0.0,0.0,0,0,0,3,0.232136,0.077379,1.904971,2,0,3,1,0.067773,0.067773,3.298122,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0
0006,0001_20230322_083454,1679474140080035,002,person,-1.946337,-0.598976,0.034496,5.0,3,3.333333,3,1,sidewalk,0,1,0,0,0.015789,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0.050869,0.050869,1.633077,1,0,1,1,0.06249,0.06249,2.249117,1,0,1,0,0.0,0.0,0.0,0,0,0,1,0.104263,0.104263,3.374602,1,0,1,0,0.0,0.0,0.0,0,0,0
0007,0001_20230322_083454,1679474137160035,003,person,0.021173,0.493501,0.074956,5.0,3,3.333333,4,1,sidewalk,0,1,0,0,0.015469,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,3,4.973373,1.657791,1.980843,3,0,3,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0.077008,0.077008,3.41478,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0
0008,0001_20230322_083454,1679474145640035,004,person,9.324555,15.696148,4.025344,5.0,3,3.333333,0,1,sidewalk,0,1,0,0,0.017969,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0
0009,0001_20230322_083454,1679474140240035,005,person,-5.2692,3.627938,3.985939,5.0,3,3.333333,2,1,sidewalk,0,1,0,0,0.011507,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0.052394,0.052394,4.355698,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0.103141,0.103141,2.857554,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0
0010,0001_20230322_083454,1679474109920035,006,person,10.002741,16.758255,4.569251,5.0,3,3.333333,0,1,sidewalk,0,1,0,0,0.007064,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0
0011,0001_20230322_083454,1679474151920035,007,person,1.636688,3.810689,6.47855,5.0,3,3.333333,3,5,crosswalk,1,0,0,0,0.019834,1,6.087727,6.087727,4.947621,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,6.001061,6.001061,4.275329,1,0,1,1,5.929084,5.929084,4.881876,1,0,1
0013,0001_20230322_083454,1679474158480035,009,person,0.181906,-4.287235,1.844046,5.0,3,3.333333,2,1,sidewalk,0,1,0,0,0.034012,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1.129996,1.129996,1.278461,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,2.821161,2.821161,3.740182,1,0,1,0,0.0,0.0,0.0,0,0,0
0014,0001_20230322_083454,1679474108120035,010,person,4.301937,-5.696201,5.112512,5.0,3,3.333333,0,5,crosswalk,1,0,0,0,0.012582,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0
