sample_id,nbr_0_dx,nbr_0_dy,nbr_0_dist,nbr_0_vel,nbr_1_dx,nbr_1_dy,nbr_1_dist,nbr_1_vel,nbr_2_dx,nbr_2_dy,nbr_2_dist,nbr_2_vel,nbr_3_dx,nbr_3_dy,nbr_3_dist,nbr_3_vel,nbr_4_dx,nbr_4_dy,nbr_4_dist,nbr_4_vel,nbr_5_dx,nbr_5_dy,nbr_5_dist,nbr_5_vel,nbr_6_dx,nbr_6_dy,nbr_6_dist,nbr_6_vel,nbr_7_dx,nbr_7_dy,nbr_7_dist,nbr_7_vel,nbr_8_dx,nbr_8_dy,nbr_8_dist,nbr_8_vel,nbr_9_dx,nbr_9_dy,nbr_9_dist,nbr_9_vel
0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0001,0.07747980186201531,0.9260414855862962,0.929277,0.5776959837290566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0004,0.6173336179502762,-0.5165749694590174,0.804954,0.049303669503586195,-0.4171569772910424,-1.4464491713826808,1.505402,0.13525749221222222,1.677379611242452,-0.44663934360758584,1.735825,0.10872746135813285,-0.8454167741256529,1.711951910902726,1.909322,0.067905863364012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0005,0.8478786801768419,-1.7058764807385816,1.904971,0.021451335779172336,1.4974843759745546,-2.221803164817595,2.679341,0.1109788788955101,0.49200493730682826,-3.111306493507908,3.149968,0.09970582745724034,2.529939404411216,-2.115895666750438,3.298122,0.06777345098253063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0006,0.1712549855931227,1.6240725680755177,1.633077,0.050869220757560535,1.9556154932299354,1.1108978724522574,2.249117,0.062489846030670315,-0.6085739169555489,3.319273145520233,3.374602,0.10426330481544954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0007,-1.8721606813612766,0.6471117937853288,1.980843,0.09632689449350068,-1.9293035422063372,-1.066504360710094,2.20446,0.663915127869366,-2.9576324313756057,0.5043175318590188,3.000321,4.213130681192886,-2.6087534086456814,2.2034359834687294,3.41478,0.07700803766380322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0009,2.7104574564857176,-0.9050054559155027,2.857554,0.10314104839463185,3.491980773772431,-2.6034937480745315,4.355698,0.05239396421623138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0011,1.1995780775824447,4.103590260698102,4.275329,6.001060727488093,2.49501430305851,4.196142573284334,4.881876,5.929083746353241,-4.398813598346778,-2.2648169248398693,4.947621,6.087727072473093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0013,-1.0830956395054663,-0.6792399187670952,1.278461,1.1299957549371484,-0.19604490811297967,3.7350400763436444,3.740182,2.8211605391532593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0016,1.7358973599173977,-3.867553892169866,4.239259,5.5828495349471865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0017,-0.615527902735278,0.5109099129136725,0.79994,0.03498231189445647,1.0639185385746799,0.0766173700200734,1.066674,0.11879396700843868,-1.0268541578813757,-0.9201808666532838,1.378826,0.18726851586968826,-1.4686343539114133,2.2247123888960907,2.665752,0.047184040339961195,3.1430568899508726,-3.7800876900208604,4.916083,5.058774613262721,3.2006904623975854,-3.7846955679191083,4.956646,5.161933115457944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0019,-3.6794517354478904,1.6539369303779379,4.034089,4.971470131397486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0020,-0.15494151727301464,1.843835297517277,1.850334,0.07880789720988386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0021,-1.697968790198275,0.8722865137461784,1.908922,0.06561827127421362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022,-0.013446122470810451,0.4221633782657399,0.422377,2.365470790987567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0023,0.7744728375469077,-0.24292364371287345,0.811677,4.269988794841485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0024,2.0433305752722184,-1.8853200400225862,2.780221,4.579095461886658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
