sample_id,scene_path,archive,timestamp,target_id,target_class_name,nearest_type,nearest_class,nearest_dist,n_neighbors_found,displacement,avg_speed_est,light_status,matched_signal_ts,signal_count,signal_states_json,f1_state,f2_state,f3_state,n_ped_red,n_ped_green,n_ped_off,n_ped_yellow,n_ped_redyellow,n_ped_yellow_blinking,status,target_velocity,neighbor_count_within_radius,nbr_1_dx,nbr_1_dy,nbr_1_distance,nbr_1_velocity,nbr_1_type,nbr_1_class,nbr_1_type_enc,nbr_1_class_enc,nbr_2_dx,nbr_2_dy,nbr_2_distance,nbr_2_velocity,nbr_2_type,nbr_2_class,nbr_2_type_enc,nbr_2_class_enc,nbr_3_dx,nbr_3_dy,nbr_3_distance,nbr_3_velocity,nbr_3_type,nbr_3_class,nbr_3_type_enc,nbr_3_class_enc,nbr_4_dx,nbr_4_dy,nbr_4_distance,nbr_4_velocity,nbr_4_type,nbr_4_class,nbr_4_type_enc,nbr_4_class_enc,nbr_5_dx,nbr_5_dy,nbr_5_distance,nbr_5_velocity,nbr_5_type,nbr_5_class,nbr_5_type_enc,nbr_5_class_enc,target_velocity_grid,cell_0_count,cell_0_mean_velocity,cell_0_min_distance,cell_1_count,cell_1_mean_velocity,cell_1_min_distance,cell_2_count,cell_2_mean_velocity,cell_2_min_distance,cell_3_count,cell_3_mean_velocity,cell_3_min_distance,cell_4_count,cell_4_mean_velocity,cell_4_min_distance,cell_5_count,cell_5_mean_velocity,cell_5_min_distance,cell_6_count,cell_6_mean_velocity,cell_6_min_distance,cell_7_count,cell_7_mean_velocity,cell_7_min_distance,cell_8_count,cell_8_mean_velocity,cell_8_min_distance
0,0000_20230322_081506,imptc_set_01.tar.gz,1679472951040035,0,person,vehicles,car,16.979787,4,0.355688,0.071138,ok,1679472951160035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 2, ""f1"": 4, ""f2"": 10, ""f3"": 10, ""k1"": 10, ""k2"": 10, ""k3"": 10, ""k4"": 4, ""k5"": 10, ""k6"": 10}",2,1,1,2,1,0,0,0,0,ok,1.291396273700507,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,1.291396,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1,0000_20230322_081506,imptc_set_01.tar.gz,1679472925960035,2,person,vrus,scooter,0.929277,13,6.203458,1.240692,ok,1679472926160035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 2, ""f1"": 4, ""f2"": 10, ""f3"": 4, ""k1"": 4, ""k2"": 10, ""k3"": 10, ""k4"": 4, ""k5"": 10, ""k6"": 10}",2,1,2,1,2,0,0,0,0,ok,4.54687160662438,1,0.07748,0.926041,0.929277,0.577696,vrus,scooter,1,4,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,4.546872,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.577696,0.929277,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2,0000_20230322_081506,imptc_set_01.tar.gz,1679472929960035,3,person,vrus,person,6.515365,15,7.927906,1.585581,ok,1679472930160035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 2, ""f1"": 4, ""f2"": 10, ""f3"": 4, ""k1"": 4, ""k2"": 10, ""k3"": 10, ""k4"": 4, ""k5"": 10, ""k6"": 10}",2,1,2,1,2,0,0,0,0,ok,6.061612713283345,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,6.061613,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
4,0001_20230322_083454,imptc_set_01.tar.gz,1679474128520035,0,person,vrus,person,0.804954,12,0.01077,0.002154,ok,1679474128160035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 11, ""f1"": 4, ""f2"": 10, ""f3"": 10, ""k1"": 10, ""k2"": 10, ""k3"": 10, ""k4"": 4, ""k5"": 4, ""k6"": 10}",2,1,1,2,1,0,0,0,0,ok,0.057949733594498,4,0.617334,-0.516575,0.804954,0.049304,vrus,person,1,1,-0.417157,-1.446449,1.505402,0.135257,vrus,scooter,1,4,1.67738,-0.446639,1.735825,0.108727,vrus,person,1,1,-0.845417,1.711952,1.909322,0.067906,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.05795,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.092281,0.804954,1,0.108727,1.735825,0,0.0,0.0,1,0.067906,1.909322,0,0.0,0.0
5,0001_20230322_083454,imptc_set_01.tar.gz,1679474127040035,1,person,vrus,person,1.904971,12,0.039743,0.007949,ok,1679474127160035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 11, ""f1"": 4, ""f2"": 10, ""f3"": 10, ""k1"": 10, ""k2"": 10, ""k3"": 10, ""k4"": 4, ""k5"": 4, ""k6"": 10}",2,1,1,2,1,0,0,0,0,ok,0.0611035278410353,4,0.847879,-1.705876,1.904971,0.021451,vrus,person,1,1,1.497484,-2.221803,2.679341,0.110979,vrus,person,1,1,0.492005,-3.111306,3.149968,0.099706,vrus,scooter,1,4,2.529939,-2.115896,3.298122,0.067773,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.061104,0,0.0,0.0,3,0.077379,1.904971,1,0.067773,3.298122,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
6,0001_20230322_083454,imptc_set_01.tar.gz,1679474140080035,2,person,vrus,person,1.633077,12,0.183452,0.03669,ok,1679474140200035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 11, ""f1"": 10, ""f2"": 10, ""f3"": 10, ""k1"": 10, ""k2"": 10, ""k3"": 10, ""k4"": 10, ""k5"": 10, ""k6"": 10}",1,1,1,3,0,0,0,0,0,ok,0.0344957374016161,3,0.171255,1.624073,1.633077,0.050869,vrus,person,1,1,1.955615,1.110898,2.249117,0.06249,vrus,person,1,1,-0.608574,3.319273,3.374602,0.104263,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.034496,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.050869,1.633077,1,0.06249,2.249117,0,0.0,0.0,1,0.104263,3.374602,0,0.0,0.0
7,0001_20230322_083454,imptc_set_01.tar.gz,1679474137160035,3,person,vrus,person,1.980843,12,0.005511,0.001102,ok,1679474137160035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 11, ""f1"": 10, ""f2"": 10, ""f3"": 10, ""k1"": 10, ""k2"": 10, ""k3"": 10, ""k4"": 20, ""k5"": 20, ""k6"": 10}",1,1,1,3,0,0,0,0,0,ok,0.0749564335402776,4,-1.872161,0.647112,1.980843,0.096327,vrus,person,1,1,-1.929304,-1.066504,2.20446,0.663915,vrus,person,1,1,-2.957632,0.504318,3.000321,4.213131,vrus,person,1,1,-2.608753,2.203436,3.41478,0.077008,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.074956,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,1.657791,1.980843,0,0.0,0.0,0,0.0,0.0,1,0.077008,3.41478,0,0.0,0.0,0,0.0,0.0
8,0001_20230322_083454,imptc_set_01.tar.gz,1679474145640035,4,person,vehicles,car,10.994973,12,7.994217,1.598843,ok,1679474145160035,12,"{""b1"": 11, ""b3"": 2, ""b4"": 11, ""f1"": 10, ""f2"": 4, ""f3"": 10, ""k1"": 10, ""k2"": 10, ""k3"": 4, ""k4"": 10, ""k5"": 10, ""k6"": 4}",1,2,1,2,1,0,0,0,0,ok,4.025344130129231,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,4.025344,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
9,0001_20230322_083454,imptc_set_01.tar.gz,1679474140240035,5,person,vrus,person,2.857554,12,5.659845,1.131969,ok,1679474140200035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 11, ""f1"": 10, ""f2"": 10, ""f3"": 10, ""k1"": 10, ""k2"": 10, ""k3"": 10, ""k4"": 10, ""k5"": 10, ""k6"": 10}",1,1,1,3,0,0,0,0,0,ok,3.9859389700935353,2,2.710457,-0.905005,2.857554,0.103141,vrus,person,1,1,3.491981,-2.603494,4.355698,0.052394,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,3.985939,0,0.0,0.0,0,0.0,0.0,1,0.052394,4.355698,0,0.0,0.0,0,0.0,0.0,1,0.103141,2.857554,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
10,0001_20230322_083454,imptc_set_01.tar.gz,1679474109920035,6,person,vehicles,car,7.816562,13,6.769145,1.353829,ok,1679474110200035,12,"{""b1"": 2, ""b3"": 11, ""b4"": 2, ""f1"": 4, ""f2"": 10, ""f3"": 4, ""k1"": 4, ""k2"": 10, ""k3"": 10, ""k4"": 4, ""k5"": 10, ""k6"": 10}",2,1,2,1,2,0,0,0,0,ok,4.569250697793216,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,4.569251,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
