sample_id,scene_path,timestamp,target_id,target_class,target_x,target_y,target_velocity,map_label,is_crosswalk,is_sidewalk,is_road,is_bikelane,cell_00_count,cell_00_min_dist,cell_00_mean_vel,cell_00_ped_count,cell_00_vru_count,cell_00_vehicle_count,cell_01_count,cell_01_min_dist,cell_01_mean_vel,cell_01_ped_count,cell_01_vru_count,cell_01_vehicle_count,cell_02_count,cell_02_min_dist,cell_02_mean_vel,cell_02_ped_count,cell_02_vru_count,cell_02_vehicle_count,cell_03_count,cell_03_min_dist,cell_03_mean_vel,cell_03_ped_count,cell_03_vru_count,cell_03_vehicle_count,cell_04_count,cell_04_min_dist,cell_04_mean_vel,cell_04_ped_count,cell_04_vru_count,cell_04_vehicle_count,cell_05_count,cell_05_min_dist,cell_05_mean_vel,cell_05_ped_count,cell_05_vru_count,cell_05_vehicle_count,cell_06_count,cell_06_min_dist,cell_06_mean_vel,cell_06_ped_count,cell_06_vru_count,cell_06_vehicle_count,cell_07_count,cell_07_min_dist,cell_07_mean_vel,cell_07_ped_count,cell_07_vru_count,cell_07_vehicle_count,cell_08_count,cell_08_min_dist,cell_08_mean_vel,cell_08_ped_count,cell_08_vru_count,cell_08_vehicle_count,cell_09_count,cell_09_min_dist,cell_09_mean_vel,cell_09_ped_count,cell_09_vru_count,cell_09_vehicle_count,cell_10_count,cell_10_min_dist,cell_10_mean_vel,cell_10_ped_count,cell_10_vru_count,cell_10_vehicle_count,cell_11_count,cell_11_min_dist,cell_11_mean_vel,cell_11_ped_count,cell_11_vru_count,cell_11_vehicle_count,cell_12_count,cell_12_min_dist,cell_12_mean_vel,cell_12_ped_count,cell_12_vru_count,cell_12_vehicle_count,cell_13_count,cell_13_min_dist,cell_13_mean_vel,cell_13_ped_count,cell_13_vru_count,cell_13_vehicle_count,cell_14_count,cell_14_min_dist,cell_14_mean_vel,cell_14_ped_count,cell_14_vru_count,cell_14_vehicle_count,cell_15_count,cell_15_min_dist,cell_15_mean_vel,cell_15_ped_count,cell_15_vru_count,cell_15_vehicle_count,cell_16_count,cell_16_min_dist,cell_16_mean_vel,cell_16_ped_count,cell_16_vru_count,cell_16_vehicle_count,cell_17_count,cell_17_min_dist,cell_17_mean_vel,cell_17_ped_count,cell_17_vru_count,cell_17_vehicle_count,cell_18_count,cell_18_min_dist,cell_18_mean_vel,cell_18_ped_count,cell_18_vru_count,cell_18_vehicle_count,cell_19_count,cell_19_min_dist,cell_19_mean_vel,cell_19_ped_count,cell_19_vru_count,cell_19_vehicle_count,cell_20_count,cell_20_min_dist,cell_20_mean_vel,cell_20_ped_count,cell_20_vru_count,cell_20_vehicle_count,cell_21_count,cell_21_min_dist,cell_21_mean_vel,cell_21_ped_count,cell_21_vru_count,cell_21_vehicle_count,cell_22_count,cell_22_min_dist,cell_22_mean_vel,cell_22_ped_count,cell_22_vru_count,cell_22_vehicle_count,cell_23_count,cell_23_min_dist,cell_23_mean_vel,cell_23_ped_count,cell_23_vru_count,cell_23_vehicle_count,cell_24_count,cell_24_min_dist,cell_24_mean_vel,cell_24_ped_count,cell_24_vru_count,cell_24_vehicle_count
0000,0000_20230322_081506,1679472951040035,000,person,-1.9016,2.0528,1.2914,sidewalk,0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0
0001,0000_20230322_081506,1679472925960035,002,person,10.3483,15.9507,4.5469,sidewalk,0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0.9293,0.5777,0,1,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0
0002,0000_20230322_081506,1679472929960035,003,person,-3.7523,-4.2702,6.0616,sidewalk,0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0
0004,0001_20230322_083454,1679474128520035,000,person,-1.7605,1.0009,0.0579,sidewalk,0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,1.5054,0.1353,0,1,0,1,0.805,0.0493,1,1,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,1.7358,0.1087,1,1,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,1.9093,0.0679,1,1,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0
0005,0001_20230322_083454,1679474127040035,001,person,-2.6037,2.6997,0.0611,sidewalk,0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,3.15,0.0997,0,1,0,2,1.905,0.0662,2,2,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0
0006,0001_20230322_083454,1679474140080035,002,person,-1.9463,-0.599,0.0345,sidewalk,0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,2.2491,0.0625,1,1,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,1.6331,0.0509,1,1,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0
0007,0001_20230322_083454,1679474137160035,003,person,0.0212,0.4935,0.075,sidewalk,0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,2.2045,0.6639,1,1,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,2,1.9808,2.1547,2,2,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,3.4148,0.077,1,1,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0
0008,0001_20230322_083454,1679474145640035,004,person,9.3246,15.6961,4.0253,sidewalk,0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0
0009,0001_20230322_083454,1679474140240035,005,person,-5.2692,3.6279,3.9859,sidewalk,0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0
0010,0001_20230322_083454,1679474109920035,006,person,10.0027,16.7583,4.5693,sidewalk,0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0
0011,0001_20230322_083454,1679474151920035,007,person,1.6367,3.8107,6.4785,crosswalk,1,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0
0013,0001_20230322_083454,1679474158480035,009,person,0.1819,-4.2872,1.844,sidewalk,0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,1.2785,1.13,1,1,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0
0014,0001_20230322_083454,1679474108120035,010,person,4.3019,-5.6962,5.1125,crosswalk,1,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0
0015,0001_20230322_083454,1679474105200035,011,person,4.1666,20.7504,5.3098,sidewalk,0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0
0016,0001_20230322_083454,1679474109240035,012,person,-1.7453,28.2641,4.5057,sidewalk,0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0
