sample_id,f1_state,f2_state,f3_state,n_ped_red,n_ped_green,n_ped_off,n_ped_yellow,n_ped_redyellow,n_ped_yellow_blinking,status
0000,2,1,1,2,1,0,0,0,0,ok
0001,2,1,2,1,2,0,0,0,0,ok
0002,2,1,2,1,2,0,0,0,0,ok
0004,2,1,1,2,1,0,0,0,0,ok
0005,2,1,1,2,1,0,0,0,0,ok
0006,1,1,1,3,0,0,0,0,0,ok
0007,1,1,1,3,0,0,0,0,0,ok
0008,1,2,1,2,1,0,0,0,0,ok
0009,1,1,1,3,0,0,0,0,0,ok
0010,2,1,2,1,2,0,0,0,0,ok
0011,1,2,1,2,1,0,0,0,0,ok
0013,1,1,1,3,0,0,0,0,0,ok
0014,2,1,2,1,2,0,0,0,0,ok
0015,2,1,2,1,2,0,0,0,0,ok
0016,2,1,2,1,2,0,0,0,0,ok
0017,2,1,1,2,1,0,0,0,0,ok
0019,2,1,1,2,1,0,0,0,0,ok
0020,2,1,1,2,1,0,0,0,0,ok
0021,1,1,1,3,0,0,0,0,0,ok
0022,1,2,1,2,1,0,0,0,0,ok
0023,1,2,1,2,1,0,0,0,0,ok
0024,2,1,2,1,2,0,0,0,0,ok
0026,1,1,1,3,0,0,0,0,0,ok
0027,1,2,1,2,1,0,0,0,0,ok
0028,1,2,1,2,1,0,0,0,0,ok
0029,1,1,1,3,0,0,0,0,0,ok
0030,1,1,1,3,0,0,0,0,0,ok
0031,1,2,1,2,1,0,0,0,0,ok
0032,1,2,1,2,1,0,0,0,0,ok
0033,1,2,1,2,1,0,0,0,0,ok
0034,1,2,1,2,1,0,0,0,0,ok
0035,1,2,1,2,1,0,0,0,0,ok
0036,1,1,1,3,0,0,0,0,0,ok
0037,1,1,1,3,0,0,0,0,0,ok
0039,1,2,1,2,1,0,0,0,0,ok
0040,1,2,1,2,1,0,0,0,0,ok
0041,1,2,1,2,1,0,0,0,0,ok
0042,1,2,1,2,1,0,0,0,0,ok
0043,1,2,1,2,1,0,0,0,0,ok
0044,1,2,1,2,1,0,0,0,0,ok
0045,2,1,2,1,2,0,0,0,0,ok
0046,1,1,1,3,0,0,0,0,0,ok
0047,1,1,1,3,0,0,0,0,0,ok
0048,1,1,1,3,0,0,0,0,0,ok
0049,1,2,1,2,1,0,0,0,0,ok
0050,1,2,1,2,1,0,0,0,0,ok
0051,2,1,2,1,2,0,0,0,0,ok
0052,1,2,1,2,1,0,0,0,0,ok
0053,2,1,2,1,2,0,0,0,0,ok
0054,2,1,2,1,2,0,0,0,0,ok
0055,1,2,1,2,1,0,0,0,0,ok
0057,2,1,1,2,1,0,0,0,0,ok
0058,1,1,1,3,0,0,0,0,0,ok
0059,1,2,1,2,1,0,0,0,0,ok
0060,2,1,2,1,2,0,0,0,0,ok
0061,1,2,1,2,1,0,0,0,0,ok
0062,1,2,1,2,1,0,0,0,0,ok
0064,2,1,1,2,1,0,0,0,0,ok
0065,2,1,1,2,1,0,0,0,0,ok
0066,1,2,1,2,1,0,0,0,0,ok
0067,2,1,2,1,2,0,0,0,0,ok
0068,1,1,1,3,0,0,0,0,0,ok
0069,2,1,2,1,2,0,0,0,0,ok
0070,1,1,2,2,1,0,0,0,0,ok
0071,2,1,2,1,2,0,0,0,0,ok
0072,1,1,2,2,1,0,0,0,0,ok
0073,1,1,1,3,0,0,0,0,0,ok
0074,2,1,2,1,2,0,0,0,0,ok
0075,1,2,1,2,1,0,0,0,0,ok
