sample_id,scene_path,timestamp,target_id,target_class_name,target_x,target_y,nearest_map_dist,map_label_id,map_label_name,is_crosswalk,is_sidewalk,is_road,is_bikelane
0000,0000_20230322_081506,1679472951040035,000,person,-1.901631,2.052848,9.6e-05,1,sidewalk,0,1,0,0
0001,0000_20230322_081506,1679472925960035,002,person,10.348255,15.950742,0.024111,1,sidewalk,0,1,0,0
0002,0000_20230322_081506,1679472929960035,003,person,-3.75229,-4.270228,0.035547,1,sidewalk,0,1,0,0
0004,0001_20230322_083454,1679474128520035,000,person,-1.760483,1.000899,0.049514,1,sidewalk,0,1,0,0
0005,0001_20230322_083454,1679474127040035,001,person,-2.603697,2.699683,0.022186,1,sidewalk,0,1,0,0
0006,0001_20230322_083454,1679474140080035,002,person,-1.946337,-0.598976,0.015789,1,sidewalk,0,1,0,0
0007,0001_20230322_083454,1679474137160035,003,person,0.021173,0.493501,0.015469,1,sidewalk,0,1,0,0
0008,0001_20230322_083454,1679474145640035,004,person,9.324555,15.696148,0.017969,1,sidewalk,0,1,0,0
0009,0001_20230322_083454,1679474140240035,005,person,-5.2692,3.627938,0.011507,1,sidewalk,0,1,0,0
0010,0001_20230322_083454,1679474109920035,006,person,10.002741,16.758255,0.007064,1,sidewalk,0,1,0,0
0011,0001_20230322_083454,1679474151920035,007,person,1.636688,3.810689,0.019834,5,crosswalk,1,0,0,0
0013,0001_20230322_083454,1679474158480035,009,person,0.181906,-4.287235,0.034012,1,sidewalk,0,1,0,0
0014,0001_20230322_083454,1679474108120035,010,person,4.301937,-5.696201,0.012582,5,crosswalk,1,0,0,0
0015,0001_20230322_083454,1679474105200035,011,person,4.166569,20.750358,0.022592,1,sidewalk,0,1,0,0
0016,0001_20230322_083454,1679474109240035,012,person,-1.745328,28.264101,0.076543,1,sidewalk,0,1,0,0
0017,0001_20230322_083454,1679474128200035,013,person,-1.1426,0.48653,0.041503,1,sidewalk,0,1,0,0
0019,0002_20230322_083625,1679474215760035,000,person,-2.00797,1.87974,0.035513,1,sidewalk,0,1,0,0
0020,0002_20230322_083625,1679474206080035,001,person,-1.869573,0.087663,0.019214,1,sidewalk,0,1,0,0
0021,0002_20230322_083625,1679474226960035,003,person,-0.356291,1.15956,0.018211,1,sidewalk,0,1,0,0
0022,0002_20230322_083625,1679474232920035,004,person,-6.521233,-7.899992,0.058197,1,sidewalk,0,1,0,0
0023,0002_20230322_083625,1679474233920035,005,person,-6.350585,-6.805323,0.079465,1,sidewalk,0,1,0,0
0024,0002_20230322_083625,1679474191360035,006,person,9.759788,-9.667697,0.015058,5,crosswalk,1,0,0,0
0026,0003_20230322_083935,1679474406000035,000,person,-1.837949,1.956325,0.017436,1,sidewalk,0,1,0,0
0027,0003_20230322_083935,1679474421440035,002,person,2.024535,5.694636,0.027981,5,crosswalk,1,0,0,0
0028,0003_20230322_083935,1679474424840035,003,person,10.075792,-10.476671,0.022082,1,sidewalk,0,1,0,0
0029,0003_20230322_083935,1679474426400035,004,person,6.558072,8.160094,0.032336,5,crosswalk,1,0,0,0
0030,0003_20230322_083935,1679474426080035,007,person,19.878568,15.682279,0.018233,0,road,0,0,1,0
0031,0004_20230322_084251,1679474596640035,000,person,-4.245382,1.991517,0.049785,1,sidewalk,0,1,0,0
0032,0004_20230322_084251,1679474595240035,001,person,9.541059,16.577176,0.019867,1,sidewalk,0,1,0,0
0033,0004_20230322_084251,1679474594480035,002,person,-0.876967,1.055991,0.001858,1,sidewalk,0,1,0,0
0034,0004_20230322_084251,1679474593880035,003,person,-1.418575,-1.898329,0.007843,1,sidewalk,0,1,0,0
0035,0004_20230322_084251,1679474593040035,004,person,-3.156431,2.663859,0.032633,1,sidewalk,0,1,0,0
0036,0004_20230322_084251,1679474590840035,005,person,-1.621847,1.408489,0.036487,1,sidewalk,0,1,0,0
0037,0004_20230322_084251,1679474617280035,006,person,33.442685,3.013684,0.053097,1,sidewalk,0,1,0,0
0039,0005_20230322_084431,1679474689720035,000,person,2.388136,7.325074,0.020326,5,crosswalk,1,0,0,0
0040,0005_20230322_084431,1679474688880035,001,person,0.632074,4.317266,0.018375,5,crosswalk,1,0,0,0
0041,0005_20230322_084431,1679474687000035,002,person,1.697258,2.56427,0.051948,5,crosswalk,1,0,0,0
0042,0005_20230322_084431,1679474694680035,004,person,26.092328,8.980411,0.020176,1,sidewalk,0,1,0,0
0043,0005_20230322_084431,1679474683160035,005,person,4.343047,21.908143,0.031083,1,sidewalk,0,1,0,0
0044,0005_20230322_084431,1679474693320035,006,person,6.726579,10.35946,0.031073,5,crosswalk,1,0,0,0
0045,0006_20230322_113007,1679484644000035,000,person,10.91712,16.41692,0.01534,1,sidewalk,0,1,0,0
0046,0006_20230322_113007,1679484652680035,001,person,10.525095,16.509356,0.023382,1,sidewalk,0,1,0,0
0047,0006_20230322_113007,1679484649080035,002,person,-3.144474,3.499617,0.011505,1,sidewalk,0,1,0,0
0048,0006_20230322_113007,1679484655440035,003,person,-2.366154,2.692929,0.013759,1,sidewalk,0,1,0,0
0049,0006_20230322_113007,1679484656920035,004,person,11.595287,14.659653,0.024535,1,sidewalk,0,1,0,0
0050,0006_20230322_113007,1679484665360035,005,person,7.458205,10.083968,0.062569,5,crosswalk,1,0,0,0
0051,0006_20230322_113007,1679484620200035,006,person,4.687101,-5.990006,0.033201,5,crosswalk,1,0,0,0
0052,0006_20230322_113007,1679484670560035,007,person,6.797488,10.023417,0.027835,5,crosswalk,1,0,0,0
0053,0006_20230322_113007,1679484614680035,009,person,10.883547,16.064913,0.02816,1,sidewalk,0,1,0,0
0054,0006_20230322_113007,1679484641720035,010,person,12.188902,-11.626091,0.019102,1,sidewalk,0,1,0,0
0055,0006_20230322_113007,1679484669720035,011,person,-1.397958,0.226709,0.028731,1,sidewalk,0,1,0,0
0057,0007_20230322_114343,1679485465520035,000,person,-2.668381,2.35873,0.015555,1,sidewalk,0,1,0,0
0058,0007_20230322_114343,1679485471280035,001,person,-1.35653,0.753223,0.015864,1,sidewalk,0,1,0,0
0059,0007_20230322_114343,1679485475480035,003,person,-0.166875,-0.117395,0.012479,1,sidewalk,0,1,0,0
0060,0007_20230322_114343,1679485436480035,004,person,1.670775,24.132174,0.009429,1,sidewalk,0,1,0,0
0061,0007_20230322_114343,1679485485680035,005,person,11.306301,14.999294,0.022957,1,sidewalk,0,1,0,0
0062,0007_20230322_114343,1679485485680035,006,person,11.335656,15.55682,0.013556,1,sidewalk,0,1,0,0
0064,0008_20230322_114623,1679485650080035,000,person,-2.61245,3.293048,0.050374,1,sidewalk,0,1,0,0
0065,0008_20230322_114623,1679485646320035,002,person,11.337132,16.264576,0.066139,1,sidewalk,0,1,0,0
0066,0008_20230322_114623,1679485665600035,003,person,11.720903,14.844183,0.013046,1,sidewalk,0,1,0,0
0067,0008_20230322_114623,1679485606800035,004,person,0.60754,-3.764593,0.035706,1,sidewalk,0,1,0,0
0068,0008_20230322_114623,1679485687000035,005,person,15.145223,13.891231,0.023431,1,sidewalk,0,1,0,0
0069,0008_20230322_114623,1679485714320035,006,person,23.391887,8.670563,0.054856,5,crosswalk,1,0,0,0
0070,0008_20230322_114623,1679485600000035,007,person,23.575182,11.015845,0.048677,5,crosswalk,1,0,0,0
0071,0008_20230322_114623,1679485718960035,008,person,30.796177,9.219188,0.012087,1,sidewalk,0,1,0,0
0072,0008_20230322_114623,1679485697280035,009,person,22.550783,11.1251,0.017748,5,crosswalk,1,0,0,0
0073,0008_20230322_114623,1679485589360035,010,person,-10.340319,-10.698213,0.082861,1,sidewalk,0,1,0,0
