sample_id,scene_path,timestamp,target_id,target_class_name,target_x_world,target_y_world,target_velocity,map_label_name,is_crosswalk,is_sidewalk,is_road,nearest_map_dist,f1_state,f2_state,f3_state,n_ped_green,n_ped_red,has_green,red_only,is_moving,displacement,avg_speed,neighbor_count_within_5m,person_neighbors,scooter_neighbors,vehicle_neighbors,avg_neighbor_velocity,nearest_neighbor_dist,nearest_neighbor_type,nearest_neighbor_class
0001,0000_20230322_081506,1679472925960035,002,person,10.348255,15.950742,4.546872,sidewalk,0,1,0,0.024111,2,1,2,2,1,1,0,1,6.203458,1.240692,1,0,1,0,0.577696,0.929277,vrus,scooter
0004,0001_20230322_083454,1679474128520035,000,person,-1.760483,1.000899,0.05795,sidewalk,0,1,0,0.049514,2,1,1,1,2,1,0,0,0.01077,0.002154,4,3,1,0,0.090299,0.804954,vrus,person
0005,0001_20230322_083454,1679474127040035,001,person,-2.603697,2.699683,0.061104,sidewalk,0,1,0,0.022186,2,1,1,1,2,1,0,0,0.039743,0.007949,4,3,1,0,0.074977,1.904971,vrus,person
0006,0001_20230322_083454,1679474140080035,002,person,-1.946337,-0.598976,0.034496,sidewalk,0,1,0,0.015789,1,1,1,0,3,0,1,0,0.183452,0.03669,3,3,0,0,0.072541,1.633077,vrus,person
0007,0001_20230322_083454,1679474137160035,003,person,0.021173,0.493501,0.074956,sidewalk,0,1,0,0.015469,1,1,1,0,3,0,1,0,0.005511,0.001102,4,4,0,0,1.262595,1.980843,vrus,person
0009,0001_20230322_083454,1679474140240035,005,person,-5.2692,3.627938,3.985939,sidewalk,0,1,0,0.011507,1,1,1,0,3,0,1,1,5.659845,1.131969,2,2,0,0,0.077768,2.857554,vrus,person
0011,0001_20230322_083454,1679474151920035,007,person,1.636688,3.810689,6.47855,crosswalk,1,0,0,0.019834,1,2,1,1,2,1,0,1,8.961718,1.792344,3,3,0,0,6.005957,4.275329,vrus,person
0013,0001_20230322_083454,1679474158480035,009,person,0.181906,-4.287235,1.844046,sidewalk,0,1,0,0.034012,1,1,1,0,3,0,1,0,0.333905,0.066781,2,2,0,0,1.975579,1.278461,vrus,person
0016,0001_20230322_083454,1679474109240035,012,person,-1.745328,28.264101,4.505658,sidewalk,0,1,0,0.076543,2,1,2,2,1,1,0,1,7.238389,1.447678,1,1,0,0,5.58285,4.239259,vrus,person
0017,0001_20230322_083454,1679474128200035,013,person,-1.1426,0.48653,0.054433,sidewalk,0,1,0,0.041503,2,1,1,1,2,1,0,0,0.064609,0.012922,6,5,1,0,1.768156,0.79994,vrus,person
0019,0002_20230322_083625,1679474215760035,000,person,-2.00797,1.87974,0.04209,sidewalk,0,1,0,0.035513,2,1,1,1,2,1,0,0,0.091332,0.018266,1,1,0,0,4.97147,4.034089,vrus,person
0020,0002_20230322_083625,1679474206080035,001,person,-1.869573,0.087663,4.494972,sidewalk,0,1,0,0.019214,2,1,1,1,2,1,0,1,6.26553,1.253106,1,1,0,0,0.078808,1.850334,vrus,person
0021,0002_20230322_083625,1679474226960035,003,person,-0.356291,1.15956,0.240999,sidewalk,0,1,0,0.018211,1,1,1,0,3,0,1,0,0.086305,0.017261,1,1,0,0,0.065618,1.908922,vrus,person
0022,0002_20230322_083625,1679474232920035,004,person,-6.521233,-7.899992,4.627599,sidewalk,0,1,0,0.058197,1,2,1,1,2,1,0,1,6.945299,1.38906,1,1,0,0,2.365471,0.422377,vrus,person
