sample_id,target_id,other_id,other_class_name,distance,dx,dy,other_velocity,relative_velocity
1,2,1,scooter,0.929277,0.07748,0.926041,0.5776959837290566,-3.969176
4,0,13,person,0.804954,0.617334,-0.516575,0.0493036695035861,-0.008646
4,0,8,scooter,1.505402,-0.417157,-1.446449,0.1352574922122222,0.077308
4,0,3,person,1.735825,1.67738,-0.446639,0.1087274613581328,0.050778
4,0,1,person,1.909322,-0.845417,1.711952,0.067905863364012,0.009956
5,1,0,person,1.904971,0.847879,-1.705876,0.0214513357791723,-0.039652
5,1,13,person,2.679341,1.497484,-2.221803,0.1109788788955101,0.049875
5,1,8,scooter,3.149968,0.492005,-3.111306,0.0997058274572403,0.038602
5,1,3,person,3.298122,2.529939,-2.115896,0.0677734509825306,0.00667
6,2,0,person,1.633077,0.171255,1.624073,0.0508692207575605,0.016373
6,2,3,person,2.249117,1.955615,1.110898,0.0624898460306703,0.027994
6,2,1,person,3.374602,-0.608574,3.319273,0.1042633048154495,0.069768
7,3,0,person,1.980843,-1.872161,0.647112,0.0963268944935006,0.02137
7,3,2,person,2.20446,-1.929304,-1.066504,0.663915127869366,0.588959
7,3,5,person,3.000321,-2.957632,0.504318,4.213130681192886,4.138174
7,3,1,person,3.41478,-2.608753,2.203436,0.0770080376638032,0.002052
9,5,1,person,2.857554,2.710457,-0.905005,0.1031410483946318,-3.882798
9,5,0,person,4.355698,3.491981,-2.603494,0.0523939642162313,-3.933545
11,7,4,person,4.275329,1.199578,4.10359,6.001060727488093,-0.477489
11,7,2,person,4.881876,2.495014,4.196143,5.929083746353241,-0.549466
11,7,9,person,4.947621,-4.398814,-2.264817,6.087727072473093,-0.390823
13,9,14,person,1.278461,-1.083096,-0.67924,1.1299957549371484,-0.71405
13,9,4,person,3.740182,-0.196045,3.73504,2.8211605391532597,0.977115
16,12,11,person,4.239259,1.735897,-3.867554,5.5828495349471865,1.077192
17,13,0,person,0.79994,-0.615528,0.51091,0.0349823118944564,-0.019451
17,13,3,person,1.066674,1.063919,0.076617,0.1187939670084386,0.064361
17,13,8,scooter,1.378826,-1.026854,-0.920181,0.1872685158696882,0.132835
17,13,1,person,2.665752,-1.468634,2.224712,0.0471840403399611,-0.007249
17,13,2,person,4.916083,3.143057,-3.780088,5.058774613262721,5.004341
17,13,5,person,4.956646,3.20069,-3.784696,5.161933115457944,5.1075
19,0,2,person,4.034089,-3.679452,1.653937,4.971470131397486,4.92938
20,1,0,person,1.850334,-0.154942,1.843835,0.0788078972098838,-4.416164
21,3,0,person,1.908922,-1.697969,0.872287,0.0656182712742136,-0.17538
22,4,5,person,0.422377,-0.013446,0.422163,2.365470790987567,-2.262128
23,5,4,person,0.811677,0.774473,-0.242924,4.269988794841485,1.200365
24,6,7,bicycle,2.780221,2.043331,-1.88532,4.579095461886658,-0.508442
28,3,1,person,0.39298,-0.257216,-0.297108,0.2739079264154435,0.171009
29,4,5,person,3.712814,-1.488935,3.401185,7.301136033419821,0.820426
29,4,2,person,3.915742,1.15741,3.74078,6.028887736321985,-0.451822
30,7,1035,car,2.176507,-1.423278,-1.646652,0.1431925438934214,-0.201024
31,0,4,person,3.583051,2.753261,2.292991,6.250865863198712,4.660171
31,0,3,person,4.12197,3.873227,-1.41023,5.291913448021716,3.701219
33,2,5,person,1.136747,-0.451562,1.043209,4.157682184166953,0.968218
33,2,4,person,2.763072,-2.263477,1.58469,0.4497423683559174,-2.739722
33,2,3,person,2.771176,-0.477601,-2.72971,2.1085036574039,-1.08096
33,2,0,person,3.776396,-3.620967,1.072271,0.1105967942859566,-3.078867
34,3,2,person,2.734697,0.338028,2.713726,0.6372691556125027,-0.047975
34,3,5,person,3.509882,-0.126115,3.507616,2.125651513993295,1.440408
34,3,4,person,4.861626,-1.735281,4.541388,0.1624619980939309,-0.522782
35,4,0,person,1.397987,-1.308662,-0.4917,0.1423382007125885,0.021271
35,4,5,person,1.995598,1.528458,-1.283053,0.1637879537855622,0.042721
35,4,2,person,2.768764,2.066722,-1.842475,0.2316952811023248,0.110628
35,4,3,person,4.909204,1.728563,-4.594819,0.130067149322012,0.009
36,5,2,person,0.792991,0.52151,-0.597379,0.1472682500003627,0.133531
36,5,4,person,1.983601,-1.530685,1.261617,0.1067218202545878,0.092984
36,5,0,person,2.990012,-2.875114,0.820909,0.2493058022273279,0.235568
36,5,3,person,3.29098,0.145779,-3.28775,0.157498576192293,0.143761
37,6,1030,car,4.382251,0.025984,4.382174,0.2712601293983309,-5.674135
