sample_id,scene_path,timestamp,target_id,target_class_name,target_x_world,target_y_world,heading_vx,heading_vy,heading_ux,heading_uy,heading_valid,other_type,other_id,other_class_name,other_velocity,dx,dy,dz,distance,forward_proj,lateral_proj,relative_zone,relative_side,grid_row,grid_col,cell_id
0001,0000_20230322_081506,1679472925960035,2,person,10.348255,15.950742,0.0,0.0,1.0,0.0,0,vrus,1,scooter,0.577696,0.07748,0.926041,0.109735,0.929277,0.07748,0.926041,front,left,3,2,17
0004,0001_20230322_083454,1679474128520035,0,person,-1.760483,1.000899,0.0,0.0,1.0,0.0,0,vrus,8,scooter,0.135257,-0.417157,-1.446449,0.19301,1.505402,-0.417157,-1.446449,back,right,1,2,7
0004,0001_20230322_083454,1679474128520035,0,person,-1.760483,1.000899,0.0,0.0,1.0,0.0,0,vrus,13,person,0.049304,0.617334,-0.516575,0.315503,0.804954,0.617334,-0.516575,front,right,1,3,8
0004,0001_20230322_083454,1679474128520035,0,person,-1.760483,1.000899,0.0,0.0,1.0,0.0,0,vrus,3,person,0.108727,1.67738,-0.446639,0.169337,1.735825,1.67738,-0.446639,front,right,2,4,14
0004,0001_20230322_083454,1679474128520035,0,person,-1.760483,1.000899,0.0,0.0,1.0,0.0,0,vrus,1,person,0.067906,-0.845417,1.711952,0.072605,1.909322,-0.845417,1.711952,back,left,4,1,21
0005,0001_20230322_083454,1679474127040035,1,person,-2.603697,2.699683,0.0,0.0,1.0,0.0,0,vrus,0,person,0.021451,0.847879,-1.705876,-0.071526,1.904971,0.847879,-1.705876,front,right,0,3,3
0005,0001_20230322_083454,1679474127040035,1,person,-2.603697,2.699683,0.0,0.0,1.0,0.0,0,vrus,13,person,0.110979,1.497484,-2.221803,0.249645,2.679341,1.497484,-2.221803,front,right,0,3,3
0006,0001_20230322_083454,1679474140080035,2,person,-1.946337,-0.598976,0.0,0.0,1.0,0.0,0,vrus,3,person,0.06249,1.955615,1.110898,0.134197,2.249117,1.955615,1.110898,front,left,3,4,19
0006,0001_20230322_083454,1679474140080035,2,person,-1.946337,-0.598976,0.0,0.0,1.0,0.0,0,vrus,0,person,0.050869,0.171255,1.624073,-0.012684,1.633077,0.171255,1.624073,front,left,4,2,22
0007,0001_20230322_083454,1679474137160035,3,person,0.021173,0.493501,0.0,0.0,1.0,0.0,0,vrus,2,person,0.663915,-1.929304,-1.066504,-0.107528,2.20446,-1.929304,-1.066504,back,right,1,0,5
