sample_id,target_velocity,cell_0_count,cell_0_mean_velocity,cell_0_max_velocity,cell_0_min_distance,cell_1_count,cell_1_mean_velocity,cell_1_max_velocity,cell_1_min_distance,cell_2_count,cell_2_mean_velocity,cell_2_max_velocity,cell_2_min_distance,cell_3_count,cell_3_mean_velocity,cell_3_max_velocity,cell_3_min_distance,cell_4_count,cell_4_mean_velocity,cell_4_max_velocity,cell_4_min_distance,cell_5_count,cell_5_mean_velocity,cell_5_max_velocity,cell_5_min_distance,cell_6_count,cell_6_mean_velocity,cell_6_max_velocity,cell_6_min_distance,cell_7_count,cell_7_mean_velocity,cell_7_max_velocity,cell_7_min_distance,cell_8_count,cell_8_mean_velocity,cell_8_max_velocity,cell_8_min_distance
0000,1.291396,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0001,4.546872,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.577696,0.577696,0.929277,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0002,6.061613,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0004,0.05795,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.092281,0.135257,0.804954,1,0.108727,0.108727,1.735825,0,0.0,0.0,0.0,1,0.067906,0.067906,1.909322,0,0.0,0.0,0.0
0005,0.061104,0,0.0,0.0,0.0,3,0.077379,0.110979,1.904971,1,0.067773,0.067773,3.298122,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0006,0.034496,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.050869,0.050869,1.633077,1,0.06249,0.06249,2.249117,0,0.0,0.0,0.0,1,0.104263,0.104263,3.374602,0,0.0,0.0,0.0
0007,0.074956,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,1.657791,4.213131,1.980843,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.077008,0.077008,3.41478,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0008,4.025344,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0009,3.985939,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.052394,0.052394,4.355698,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.103141,0.103141,2.857554,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0010,4.569251,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0011,6.47855,1,6.087727,6.087727,4.947621,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,6.001061,6.001061,4.275329,1,5.929084,5.929084,4.881876
0013,1.844046,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1.129996,1.129996,1.278461,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2.821161,2.821161,3.740182,0,0.0,0.0,0.0
0014,5.112512,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0015,5.309771,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0016,4.505658,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,5.58285,5.58285,4.239259,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0017,0.054433,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,5.110354,5.161933,4.916083,0,0.0,0.0,0.0,3,0.113682,0.187269,0.79994,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.047184,0.047184,2.665752,0,0.0,0.0,0.0
0019,0.04209,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,4.97147,4.97147,4.034089,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0020,4.494972,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.078808,0.078808,1.850334,0,0.0,0.0,0.0
0021,0.240999,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.065618,0.065618,1.908922,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0022,4.627599,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2.365471,2.365471,0.422377,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0023,3.069624,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,4.269989,4.269989,0.811677,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0024,5.087537,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,4.579095,4.579095,2.780221,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0026,0.47736,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0027,6.151868,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0028,0.102899,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.273908,0.273908,0.39298,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0029,6.48071,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,6.665012,7.301136,3.712814,0,0.0,0.0,0.0
0030,0.344217,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.143193,0.143193,2.176507,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0031,1.590695,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,5.291913,5.291913,4.12197,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,6.250866,6.250866,3.583051
0032,0.203564,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0033,3.189464,0,0.0,0.0,0.0,1,2.108504,2.108504,2.771176,0,0.0,0.0,0.0,2,0.28017,0.449742,2.763072,1,4.157682,4.157682,1.136747,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0034,0.685244,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.162462,0.162462,4.861626,2,1.38146,2.125652,2.734697,0,0.0,0.0,0.0
0035,0.121067,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.180881,0.231695,2.768764,0,0.0,0.0,0.0,2,0.153063,0.163788,1.397987,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0036,0.013738,0,0.0,0.0,0.0,1,0.157499,0.157499,3.29098,0,0.0,0.0,0.0,1,0.249306,0.249306,2.990012,2,0.126995,0.147268,0.792991,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0037,5.945395,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.27126,0.27126,4.382251,0,0.0,0.0,0.0
0039,5.321472,0,0.0,0.0,0.0,1,4.798929,4.798929,2.456574,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,4.973112,4.973112,0.696487,1,5.725691,5.725691,2.429334,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0040,4.781096,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,5.559569,5.559569,3.016842,0,0.0,0.0,0.0,2,4.90458,4.970261,2.2912,0,0.0,0.0,0.0
0041,6.189319,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,5.338121,5.338121,2.885104,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,6.087042,6.087042,2.64741,1,5.052809,5.052809,1.927408,0,0.0,0.0,0.0
0042,0.116627,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0043,5.652858,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0044,4.989495,0,0.0,0.0,0.0,1,5.846574,5.846574,2.436966,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,5.449806,5.54225,0.872985,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
