sample_id,target_velocity,neighbor_count_within_radius,nbr_1_dx,nbr_1_dy,nbr_1_distance,nbr_1_velocity,nbr_1_type,nbr_1_class,nbr_1_type_enc,nbr_1_class_enc,nbr_2_dx,nbr_2_dy,nbr_2_distance,nbr_2_velocity,nbr_2_type,nbr_2_class,nbr_2_type_enc,nbr_2_class_enc,nbr_3_dx,nbr_3_dy,nbr_3_distance,nbr_3_velocity,nbr_3_type,nbr_3_class,nbr_3_type_enc,nbr_3_class_enc,nbr_4_dx,nbr_4_dy,nbr_4_distance,nbr_4_velocity,nbr_4_type,nbr_4_class,nbr_4_type_enc,nbr_4_class_enc,nbr_5_dx,nbr_5_dy,nbr_5_distance,nbr_5_velocity,nbr_5_type,nbr_5_class,nbr_5_type_enc,nbr_5_class_enc
0000,1.291396273700507,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0001,4.5468716066243795,1,0.07748,0.926041,0.929277,0.577696,vrus,scooter,1,4,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0002,6.061612713283345,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0004,0.057949733594498065,4,0.617334,-0.516575,0.804954,0.049304,vrus,person,1,1,-0.417157,-1.446449,1.505402,0.135257,vrus,scooter,1,4,1.67738,-0.446639,1.735825,0.108727,vrus,person,1,1,-0.845417,1.711952,1.909322,0.067906,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0
0005,0.061103527841035336,4,0.847879,-1.705876,1.904971,0.021451,vrus,person,1,1,1.497484,-2.221803,2.679341,0.110979,vrus,person,1,1,0.492005,-3.111306,3.149968,0.099706,vrus,scooter,1,4,2.529939,-2.115896,3.298122,0.067773,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0
0006,0.034495737401616176,3,0.171255,1.624073,1.633077,0.050869,vrus,person,1,1,1.955615,1.110898,2.249117,0.06249,vrus,person,1,1,-0.608574,3.319273,3.374602,0.104263,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0007,0.07495643354027762,4,-1.872161,0.647112,1.980843,0.096327,vrus,person,1,1,-1.929304,-1.066504,2.20446,0.663915,vrus,person,1,1,-2.957632,0.504318,3.000321,4.213131,vrus,person,1,1,-2.608753,2.203436,3.41478,0.077008,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0
0008,4.025344130129231,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0009,3.9859389700935353,2,2.710457,-0.905005,2.857554,0.103141,vrus,person,1,1,3.491981,-2.603494,4.355698,0.052394,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0010,4.569250697793216,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0011,6.478549678839623,3,1.199578,4.10359,4.275329,6.001061,vrus,person,1,1,2.495014,4.196143,4.881876,5.929084,vrus,person,1,1,-4.398814,-2.264817,4.947621,6.087727,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0013,1.8440456387049493,2,-1.083096,-0.67924,1.278461,1.129996,vrus,person,1,1,-0.196045,3.73504,3.740182,2.821161,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0014,5.1125121351463445,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0015,5.309771227602821,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0016,4.505657806152469,1,1.735897,-3.867554,4.239259,5.58285,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
