sample_id,src_info,archive,scene_path,target_type,target_id,radius,match_count_for_sample,target_found,target_class_name,target_first_ts,target_last_ts,target_length,target_duration,n_interacting_tracks,n_vru_interactions,n_vehicle_interactions,strongest_other_type,strongest_other_id,strongest_min_dist,strongest_close_frames,status
4,20230322_083454/000,imptc_set_01.tar.gz,0001_20230322_083454,vrus,0,5.0,1,1,person,1679474094960035,1679474162040035,1678,67.16,18,10,8,vrus,1,1.721616,1605,ok
5,20230322_083454/001,imptc_set_01.tar.gz,0001_20230322_083454,vrus,1,5.0,1,1,person,1679474094960035,1679474159120035,1605,64.24,17,9,8,vrus,0,1.721616,1605,ok
19,20230322_083625/000,imptc_set_01.tar.gz,0002_20230322_083625,vrus,0,5.0,1,1,person,1679474185520035,1679474245960035,1512,60.52,16,3,13,vrus,3,1.684258,652,ok
7,20230322_083454/003,imptc_set_01.tar.gz,0001_20230322_083454,vrus,3,5.0,1,1,person,1679474109080035,1679474165200035,1404,56.2,14,9,5,vrus,0,1.695189,1093,ok
0,20230322_081506/000,imptc_set_01.tar.gz,0000_20230322_081506,vrus,0,5.0,1,1,person,1679472907040035,1679472995040035,2201,88.08,13,2,11,vrus,3,1.001904,174,ok
6,20230322_083454/002,imptc_set_01.tar.gz,0001_20230322_083454,vrus,2,5.0,1,1,person,1679474108480035,1679474171640035,1580,63.24,10,8,2,vrus,0,1.190896,725,ok
1,20230322_081506/002,imptc_set_01.tar.gz,0000_20230322_081506,vrus,2,5.0,1,1,person,1679472907040035,1679472944840035,946,37.88,10,1,9,vrus,1,0.902457,207,ok
9,20230322_083454/005,imptc_set_01.tar.gz,0001_20230322_083454,vrus,5,5.0,1,1,person,1679474121560035,1679474158880035,934,37.4,9,7,2,vrus,2,0.048349,459,ok
12,20230322_083454/008,imptc_set_01.tar.gz,0001_20230322_083454,vrus,8,5.0,1,1,scooter,1679474104200035,1679474133200035,726,29.08,9,7,2,vrus,0,0.817109,502,ok
17,20230322_083454/013,imptc_set_01.tar.gz,0001_20230322_083454,vrus,13,5.0,1,1,person,1679474121280035,1679474135120035,347,13.92,9,7,2,vrus,0,0.793125,347,ok
8,20230322_083454/004,imptc_set_01.tar.gz,0001_20230322_083454,vrus,4,5.0,1,1,person,1679474119600035,1679474171640035,1302,52.12,8,7,1,vrus,9,2.202384,403,ok
11,20230322_083454/007,imptc_set_01.tar.gz,0001_20230322_083454,vrus,7,5.0,1,1,person,1679474137160035,1679474166680035,739,29.6,5,4,1,vrus,2,4.52869,171,ok
14,20230322_083454/010,imptc_set_01.tar.gz,0001_20230322_083454,vrus,10,5.0,1,1,person,1679474094960035,1679474121240035,658,26.36,5,4,1,vrus,8,1.075951,270,ok
13,20230322_083454/009,imptc_set_01.tar.gz,0001_20230322_083454,vrus,9,5.0,1,1,person,1679474145320035,1679474171640035,659,26.4,5,4,1,vrus,4,2.202384,403,ok
18,20230322_083454/015,imptc_set_01.tar.gz,0001_20230322_083454,vrus,15,5.0,1,1,motorcycle,1679474127360035,1679474131440035,103,4.16,4,4,0,vrus,3,3.829047,13,ok
15,20230322_083454/011,imptc_set_01.tar.gz,0001_20230322_083454,vrus,11,5.0,1,1,person,1679474094960035,1679474115400035,512,20.52,4,1,3,vrus,12,1.752149,84,ok
10,20230322_083454/006,imptc_set_01.tar.gz,0001_20230322_083454,vrus,6,5.0,1,1,person,1679474094960035,1679474124880035,749,30.0,3,1,2,vrus,12,1.275858,77,ok
16,20230322_083454/012,imptc_set_01.tar.gz,0001_20230322_083454,vrus,12,5.0,1,1,person,1679474101680035,1679474116800035,379,15.2,3,2,1,vrus,11,1.752149,84,ok
2,20230322_081506/003,imptc_set_01.tar.gz,0000_20230322_081506,vrus,3,5.0,1,1,person,1679472919640035,1679472940280035,517,20.72,2,1,1,vrus,0,1.001904,174,ok
3,20230322_081506/004,imptc_set_01.tar.gz,0000_20230322_081506,vrus,4,5.0,1,1,bicycle,1679472983800035,1679472994920035,279,11.2,1,0,1,vehicles,1049,4.408883,36,ok
